Source Form	Canonical Form	Category	First Occurrence	Language or Script	Preserve Exactly	Review Status	Notes
Banach	Banach	person	PDF 37 / printed 23	Latin	Yes	verified	Preserved in Banach theorem and Banach space
Yosida	Yosida	person	PDF 37 / printed 23	Latin	Yes	verified	Citation [84]
Green	Green	person	PDF 37 / printed 23	Latin	Yes	verified	Preserved in Green operator and Green formula
Dirichlet	Dirichlet	person	PDF 37 / printed 23	Latin	Yes	verified	Preserved in boundary problem name
De Rham	De Rham	person	PDF 39 / printed 25	Latin	Yes	verified	Source capitalization preserved exactly
Adams	Adams	person	PDF 39 / printed 25	Latin	Yes	verified	Citation [1]
Stokes	Stokes	person	PDF 39 / printed 25	Latin	Yes	verified	Preserved in equation and theorem names
Laplace	Laplace	person	PDF 42 / printed 28	Latin	Yes	verified	Preserved in operator name
Neumann	Neumann	person	PDF 42 / printed 28	Latin	Yes	verified	Preserved in problem name
Fourier	Fourier	person	PDF 50 / printed 36	Latin	Yes	verified	Preserved in transform name
Poincaré	Poincaré	person	PDF 54 / printed 40	Latin	Yes	verified	Accent preserved exactly
Lipschitz	Lipschitz	person	PDF 39 / printed 25	Latin	Yes	verified	Preserved in Lipschitz-continuous
Girault	Girault	person	PDF 9 / printed v	Latin	Yes	verified	Surname-only citation [32]
Raviart	Raviart	person	PDF 9 / printed v	Latin	Yes	verified	Surname-only citation [32]
Vivette Girault	Vivette Girault	person	PDF 10 / printed vi	Latin	Yes	verified	Author signature
Pierre-Arnaud Raviart	Pierre-Arnaud Raviart	person	PDF 10 / printed vi	Latin	Yes	verified	Author signature; preserve hyphen
Pierre et Marie Curie	Pierre et Marie Curie	person names in institution	PDF 9 / printed v	Latin	Yes	verified	Preserve institution name exactly
Peyret	Peyret	person	PDF 9 / printed v	Latin	Yes	verified	Citation [64]
Taylor	Taylor	person	PDF 9 / printed v	Latin	Yes	verified	Citation [64]
Thomasset	Thomasset	person	PDF 9 / printed v	Latin	Yes	verified	Citation [82]
C. Bernard	C. Bernard	person	PDF 10 / printed vi	Latin	Yes	verified	Initial preserved
M. Crouzeix	M. Crouzeix	person	PDF 10 / printed vi	Latin	Yes	verified	Initial preserved
O. Pironneau	O. Pironneau	person	PDF 10 / printed vi	Latin	Yes	verified	Initial preserved
G. Raugel	G. Raugel	person	PDF 10 / printed vi	Latin	Yes	verified	Initial preserved
L. Tartar	L. Tartar	person	PDF 10 / printed vi	Latin	Yes	verified	Initial preserved
R. Verfürth	R. Verfürth	person	PDF 10 / printed vi	Latin	Yes	verified	Umlaut and initial preserved
Mme. Ruprechts	Mme. Ruprechts	person	PDF 10 / printed vi	Latin	Yes	verified	Title, punctuation, and surname preserved
Nečas	Nečas	person	PDF 15 / printed 1	Latin	Yes	verified	Accent preserved exactly; citation [58]
Grisvard	Grisvard	person	PDF 18 / printed 4	Latin	Yes	verified	Citation [42]
Friedrichs	Friedrichs	person	PDF 17 / printed 3	Latin	Yes	verified	Preserved in Poincaré-Friedrichs inequality
Lions	Lions	person	PDF 20 / printed 6	Latin	Yes	verified	Citation [54]
Peetre	Peetre	person	PDF 20 / printed 6	Latin	Yes	verified	Citation [54]
Sobolev	Sobolev	person	PDF 15 / printed 1	Latin	Yes	verified	Preserved in Sobolev space and Sobolev Imbedding Theorem
Hilbert	Hilbert	person	PDF 16 / printed 2	Latin	Yes	verified	Preserved in Hilbert space and Hilbert norm
Euclidean	Euclidean	eponymous adjective	PDF 17 / printed 3	Latin	Yes	verified	Source adjective preserved in Euclidean norm
Duvaut	Duvaut	person	PDF 34 / printed 20	Latin	Yes	verified	Citation [26]
Bernardi	Bernardi	person	PDF 36 / printed 22	Latin	Yes	verified	Citation [8]
Gobert	Gobert	person	PDF 57 / printed 43	Latin	Yes	verified	Citation [40]
Nédélec	Nédélec	person	PDF 68 / printed 54	Latin	Yes	verified	Accent preserved exactly; citation [60]
Foias	Foias	person	PDF 70 / printed 56	Latin	Yes	verified	Citation [27]
Temam	Temam	person	PDF 70 / printed 56	Latin	Yes	verified	Citation [27]
Babuška	Babuška	person	PDF 73 / printed 59	Latin	Yes	verified	Caron preserved exactly; citation [4]
Brezzi	Brezzi	person	PDF 73 / printed 59	Latin	Yes	verified	Citation [13]
Hahn	Hahn	person	PDF 74 / printed 60	Latin	Yes	verified	Preserved in Hahn--Banach Theorem
Milgram	Milgram	person	PDF 75 / printed 61	Latin	Yes	verified	Preserved in Lax \& Milgram Theorem
Uzawa	Uzawa	person	PDF 83 / printed 69	Latin	Yes	verified	Preserved in Uzawa Algorithm
Navier	Navier	person	PDF 92 / printed 78	Latin	Yes	verified	Preserved in Navier--Stokes equations
Reynolds	Reynolds	person	PDF 93 / printed 79	Latin	Yes	verified	Preserved in Reynolds number
Korn	Korn	person	PDF 100 / printed 86	Latin	Yes	verified	Preserved in Korn inequality
Cattabriga	Cattabriga	person	PDF 102 / printed 88	Latin	Yes	verified	Citation [18]
Dominguez	Dominguez	person	PDF 106 / printed 92	Latin	Yes	verified	Citation [24]
Bendali	Bendali	person	PDF 107 / printed 93	Latin	Yes	verified	Citation [6]
Gallic	Gallic	person	PDF 107 / printed 93	Latin	Yes	verified	Citation [6]
Roux	Roux	person	PDF 109 / printed 95	Latin	Yes	verified	Citation [69]
Ciarlet	Ciarlet	person	PDF 109 / printed 95	Latin	Yes	verified	Citation [19]
Strang	Strang	person	PDF 109 / printed 95	Latin	Yes	verified	Citation [77]
Fix	Fix	person	PDF 109 / printed 95	Latin	Yes	verified	Citation [77]
Clément	Clément	person	PDF 109 / printed 95	Latin	Yes	verified	Accent preserved exactly; citation [21]
Scott	Scott	person	PDF 109 / printed 95	Latin	Yes	verified	Citations [66] and [73]
Lenoir	Lenoir	person	PDF 109 / printed 95	Latin	Yes	verified	Citation [50]
Aziz	Aziz	person	PDF 112 / printed 98	Latin	Yes	verified	Citation [5]
Douglas	Douglas	person	PDF 117 / printed 103	Latin	Yes	verified	Citation [25]
Dupont	Dupont	person	PDF 117 / printed 103	Latin	Yes	verified	Citation [25]
Wahlbin	Wahlbin	person	PDF 117 / printed 103	Latin	Yes	verified	Citation [25]
Nitsche	Nitsche	person	PDF 117 / printed 103	Latin	Yes	verified	Citation [62]
Rannacher	Rannacher	person	PDF 117 / printed 103	Latin	Yes	verified	Citation [66]
Aronszajn	Aronszajn	person	PDF 120 / printed 106	Latin	Yes	verified	Result cited with Smith
Smith	Smith	person	PDF 120 / printed 106	Latin	Yes	verified	Citation [74]
Zine	Zine	person	PDF 126 / printed 112	Latin	Yes	verified	Citation [85]
Fortin	Fortin	person	PDF 131 / printed 117	Latin	Yes	verified	Citations [28] and [29]
Aubin	Aubin	person	PDF 133 / printed 119	Latin	Yes	verified	Citation [3]
Boland	Boland	person	PDF 143 / printed 129	Latin	Yes	verified	Citation [11]
Nicolaides	Nicolaides	person	PDF 143 / printed 129	Latin	Yes	verified	Citation [11]
Stenberg	Stenberg	person	PDF 146 / printed 132	Latin	Yes	verified	Citation [75]
Crouzeix	Crouzeix	person	PDF 146 / printed 132	Latin	Yes	verified	Citation [23]
Raugel	Raugel	person	PDF 146 / printed 132	Latin	Yes	verified	Citation [10]
Johnson	Johnson	person	PDF 146 / printed 132	Latin	Yes	verified	Citation [46]
Pitkäranta	Pitkäranta	person	PDF 146 / printed 132	Latin	Yes	verified	Citation [46]; rendered as Pitk\"aranta in LaTeX
Mansfield	Mansfield	person	PDF 146 / printed 132	Latin	Yes	verified	Citation [56]
Sani	Sani	person	PDF 177 / printed 163	Latin	Yes	verified	Citation [70]; surname in Sani et al.
Bercovier	Bercovier	person	PDF 187 / printed 173	Latin	Yes	verified	Surname preserved in the Bercovier--Pironneau method discussion
Pironneau	Pironneau	person	PDF 187 / printed 173	Latin	Yes	verified	Surname preserved exactly in citations and method names
Verfürth	Verfürth	person	PDF 187 / printed 173	Latin	Yes	verified	Umlaut preserved exactly
Glowinski	Glowinski	person	PDF 187 / printed 173	Latin	Yes	verified	Surname preserved exactly in the Glowinski--Pironneau method
Hood	Hood	person	PDF 197 / printed 183	Latin	Yes	verified	Preserved in the Hood--Taylor element name
Lagrange	Lagrange	person	PDF 207 / printed 193	Latin	Yes	verified	Preserved in Lagrange multiplier terminology
Osborn	Osborn	person	PDF 227 / printed 213	Latin	Yes	verified	Surname preserved exactly in source-body citation
Hölder	Hölder	person	PDF 117 / printed 103	Latin	Yes	verified	Umlaut preserved exactly in Hölder inequality
Scholz	Scholz	person	PDF 237 / printed 223	Latin	Yes	verified	Surname preserved exactly in citation [72]
Gauss	Gauss	person	PDF 240 / printed 226	Latin	Yes	verified	Preserved in Gauss--Lobatto quadrature terminology
Lobatto	Lobatto	person	PDF 240 / printed 226	Latin	Yes	verified	Preserved in Gauss--Lobatto quadrature terminology
Hellan	Hellan	person	PDF 251 / printed 237	Latin	Yes	verified	Preserved in the Hellan--Herrmann--Johnson scheme name
Herrmann	Herrmann	person	PDF 251 / printed 237	Latin	Yes	verified	Preserved in the Hellan--Herrmann--Johnson scheme name
Bramble	Bramble	person	PDF 256 / printed 242	Latin	Yes	verified	Preserved in the Bramble--Hilbert estimate
Hopf	Hopf	person	PDF 301 / printed 287	Latin	Yes	verified	Citation [45] and Hopf lifting lemma
Heaviside	Heaviside	person	PDF 303 / printed 289	Latin	Yes	verified	Preserved in Heaviside function
Rappaz	Rappaz	person	PDF 311 / printed 297	Latin	Yes	verified	Citation [14]; surname preserved exactly
Polack	Polack	person	PDF 370 / printed 356	Latin	Yes	verified	Preserved in the Polack--Ribiere algorithm name
Ribiere	Ribiere	person	PDF 370 / printed 356	Latin	Yes	verified	Preserved in the Polack--Ribiere algorithm name
Arnold	Arnold	person	PDF 382 / printed 368	Latin	Yes	verified	Reference [2]
Carey	Carey	person	PDF 382 / printed 368	Latin	Yes	verified	Reference [16]
Krishnan	Krishnan	person	PDF 382 / printed 368	Latin	Yes	verified	Reference [16]
Cartan	Cartan	person	PDF 382 / printed 368	Latin	Yes	verified	Reference [17]
Miller	Miller	person	PDF 382 / printed 368	Latin	Yes	verified	Editor named in Reference [15]
de Boor	de Boor	person	PDF 382 / printed 368	Latin	Yes	verified	Editor named in Reference [20]; capitalization preserved
Rodin	Rodin	person	PDF 383 / printed 369	Latin	Yes	verified	Reference [37]
Zienkiewicz	Zienkiewicz	person	PDF 383 / printed 369	Latin	Yes	verified	Reference [37]
Goldstein	Goldstein	person	PDF 383 / printed 369	Latin	Yes	verified	Reference [41]
Saranen	Saranen	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [47]
Ladyzhenskaya	Ladyzhenskaya	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [48]
Lax	Lax	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [49]
Lesaint	Lesaint	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [51]
Magenes	Magenes	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [53]
Malkus	Malkus	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [55]
Olsen	Olsen	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [55]
Nedelec	Nedelec	person	PDF 384 / printed 370	Latin	Yes	verified	Source bibliography spelling in References [59] and [60] preserved without adding accents
Galligani	Galligani	person	PDF 384 / printed 370	Latin	Yes	verified	Editor named in Reference [62]
de Rham	de Rham	person	PDF 384 / printed 370	Latin	Yes	verified	Source bibliography capitalization in Reference [68] preserved
Gresho	Gresho	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [70]
Lee	Lee	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [70]
Griffiths	Griffiths	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [70]
Engelman	Engelman	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [70]
Schatz	Schatz	person	PDF 384 / printed 370	Latin	Yes	verified	Reference [71]
Stephens	Stephens	person	PDF 385 / printed 371	Latin	Yes	verified	Reference [76]
Bell	Bell	person	PDF 385 / printed 371	Latin	Yes	verified	Reference [76]
Solomon	Solomon	person	PDF 385 / printed 371	Latin	Yes	verified	Reference [76]
Hackerman	Hackerman	person	PDF 385 / printed 371	Latin	Yes	verified	Reference [76]
