Unit ID	PDF Pages	Printed Pages	QA Status	Source QA	Formula QA	Translation QA	Compile QA	Notes
scan-sample	37-55	23-41	passed	passed	passed	passed	passed	Approved representative sample; immutable during continuation.
frontmatter	9-14	v-x	passed	passed	passed	passed	passed	Preface on PDF 9-10 verified and translated; PDF 11-14 table of contents generated from reviewed headings; all chapter-label targets resolve in the integration build
chapter-01-section-01	15-31	1-17	passed	passed	passed	passed	passed	PDF 15-31 / printed 1-17 restored against scan, translated without omissions, semantically labeled, compiled twice, and rendered QA passed
chapter-01-section-02	32-50	18-36	passed	passed	passed	passed	passed	PDF 32-36 restored and translated; approved sample PDF 37-50 reused without retranslating; clean two-pass compile and rendered QA passed
chapter-01-section-03	51-70	37-56	passed	passed	passed	passed	passed	Approved sample PDF 51-55 reused without retranslating; PDF 56-70 restored against scan, translated, semantically labeled, compiled twice, and rendered QA passed; Section 4 begins later on PDF 70
chapter-01-section-04	70-92	56-78	passed	passed	passed	passed	passed	PDF 70-92 restored against scan, translated without omissions, semantically labeled, compiled twice, and rendered QA passed; Section 5 begins later on PDF 92
chapter-01-section-05	92-109	78-95	passed	passed	passed	passed	passed	PDF 92-109 restored against scan, translated without omissions, semantically labeled, compiled twice, and rendered QA passed; Appendix A begins later on PDF 109
appendix-a	109-125	95-111	passed	passed	passed	passed	passed	PDF 109-125 restored against the original scan, translated without omissions, semantically labeled, compiled three times, and rendered QA passed; Chapter 2 begins on PDF 126
chapter-02-section-01	126-146	112-132	passed	passed	passed	passed	passed	PDF 126-146 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed; Section 2 begins later on shared PDF page 146
chapter-02-section-02	146-166	132-152	passed	passed	passed	passed	passed	PDF 146-166 through the shared-page Theorem 2.6 and Remark 2.8 restored against the original scan, translated without omissions, semantically labeled, and compiled to convergence; Section 3 begins later on PDF 166
chapter-02-section-03	166-186	152-172	passed	passed	passed	passed	passed	PDF 166-186 restored against the original scan, translated without omissions, semantically labeled, compiled three times to convergence, and rendered QA passed; Section 4 begins on PDF 187
chapter-02-section-04	187-206	173-192	passed	passed	passed	passed	passed	PDF 187-206 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence in the Chapter 1-3 integration build, and rendered QA passed
chapter-03-section-01	207-211	193-197	passed	passed	passed	passed	passed	PDF 207-211 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed
chapter-03-section-02	212-235	198-221	passed	passed	passed	passed	passed	PDF 212-235 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed
chapter-03-section-03	236-250	222-236	passed	passed	passed	passed	passed	PDF 236-250 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed
chapter-03-section-04	251-270	237-256	passed	passed	passed	passed	passed	PDF 251-270 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed
chapter-03-section-05	271-291	257-277	passed	passed	passed	passed	passed	PDF 271-291 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed; Chapter 4 begins on PDF 292
chapter-04-section-01	292-297	278-283	passed	passed	passed	passed	passed	PDF 292-297 / printed 278-283 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed
chapter-04-section-02	298-311(part)	284-297(part)	passed	passed	passed	passed	passed	PDF 298-310 / printed 284-296 plus closing Remark 2.3 at top of PDF 311 / printed 297 restored against the original scan, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed
chapter-04-section-03	311-330(part)	297-316(part)	passed	passed	passed	passed	passed	PDF 311-329 / printed 297-315 plus proof conclusion and Remark 3.9 at top of PDF 330 / printed 316 restored against original scans, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed
chapter-04-section-04	330-350(part)	316-336(part)	passed	passed	passed	passed	passed	PDF 330-349 / printed 316-335 plus the closing paragraphs at the top of PDF 350 / printed 336 restored against original scans, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed; Section 5 begins later on PDF 350
chapter-04-section-05	350-366(part)	336-352(part)	passed	passed	passed	passed	passed	PDF 350-365 / printed 336-351 plus Theorem 5.3 at the top of PDF 366 / printed 352 restored against original scans, translated without omissions, semantically labeled, compiled to convergence, and rendered QA passed; Section 6 begins later on PDF 366
chapter-04-section-06	366(part)-381	352(part)-367	passed	passed	passed	passed	passed	PDF 366(part)-381 / printed 352(part)-367 restored against original scans, translated without omissions, semantically labeled through equation (6.57), compiled to convergence, and rendered QA passed
references	382-385	368-371	passed	passed	passed	passed	passed	All 85 source entries restored in order; names, accents, titles, mathematical tokens, and bibliographic data preserved exactly; compiled and rendered QA passed
symbol-index	386	372	passed	passed	passed	passed	passed	All 63 symbol rows restored token by token with printed-page references preserved; compiled and rendered QA passed
subject-index	387-388	373-374	passed	passed	passed	passed	passed	All 113 main and subordinate rows restored and translated, with names and printed-page references preserved; compiled and rendered QA passed
