Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		unknown	app:standard-finite-element-approximation	label	tex/chapters/appendix-a-part-01.tex:3	tex/chapters/appendix-a-part-01.tex:3	defined
target		section	sec:appendix-triangular-finite-elements	label	tex/chapters/appendix-a-part-01.tex:19	tex/chapters/appendix-a-part-01.tex:19	defined
target		definition	def:appendix-polynomial-space-pk	label	tex/chapters/appendix-a-part-01.tex:21	tex/chapters/appendix-a-part-01.tex:21	defined
target		equation	eq:appendix-simplex-affine-map	label	tex/chapters/appendix-a-part-01.tex:52	tex/chapters/appendix-a-part-01.tex:52	defined
target		equation	eq:appendix-simplex-matrix-bounds	label	tex/chapters/appendix-a-part-01.tex:58	tex/chapters/appendix-a-part-01.tex:58	defined
target		equation	eq:appendix-simplex-determinant-measure	label	tex/chapters/appendix-a-part-01.tex:65	tex/chapters/appendix-a-part-01.tex:65	defined
target		equation	eq:appendix-simplex-determinant-bounds	label	tex/chapters/appendix-a-part-01.tex:71	tex/chapters/appendix-a-part-01.tex:71	defined
target		equation	eq:appendix-barycentric-coordinate-definition	label	tex/chapters/appendix-a-part-01.tex:82	tex/chapters/appendix-a-part-01.tex:82	defined
target		equation	eq:appendix-barycentric-identities	label	tex/chapters/appendix-a-part-01.tex:90	tex/chapters/appendix-a-part-01.tex:90	defined
target		figure	fig:appendix-triangle-reference-simplex	label	tex/chapters/appendix-a-part-01.tex:109	tex/chapters/appendix-a-part-01.tex:109	defined
target		lemma	lem:appendix-simplex-change-of-variables	label	tex/chapters/appendix-a-part-01.tex:129	tex/chapters/appendix-a-part-01.tex:129	defined
target		equation	eq:appendix-change-forward	label	tex/chapters/appendix-a-part-01.tex:139	tex/chapters/appendix-a-part-01.tex:139	defined
target		equation	eq:appendix-change-inverse	label	tex/chapters/appendix-a-part-01.tex:145	tex/chapters/appendix-a-part-01.tex:145	defined
target		equation	eq:appendix-gradient-transform	label	tex/chapters/appendix-a-part-01.tex:155	tex/chapters/appendix-a-part-01.tex:155	defined
target		equation	eq:appendix-normal-transform	label	tex/chapters/appendix-a-part-01.tex:161	tex/chapters/appendix-a-part-01.tex:161	defined
target		theorem	thm:appendix-bramble-hilbert-general	label	tex/chapters/appendix-a-part-01.tex:170	tex/chapters/appendix-a-part-01.tex:170	defined
target		equation	eq:appendix-bramble-hilbert	label	tex/chapters/appendix-a-part-01.tex:173	tex/chapters/appendix-a-part-01.tex:173	defined
target		corollary	cor:appendix-abstract-interpolation-reference	label	tex/chapters/appendix-a-part-01.tex:184	tex/chapters/appendix-a-part-01.tex:184	defined
target		equation	eq:appendix-abstract-interpolation-reference	label	tex/chapters/appendix-a-part-01.tex:199	tex/chapters/appendix-a-part-01.tex:199	defined
target		corollary	cor:appendix-abstract-interpolation-physical	label	tex/chapters/appendix-a-part-01.tex:214	tex/chapters/appendix-a-part-01.tex:214	defined
target		equation	eq:appendix-interpolant-commuting-definition	label	tex/chapters/appendix-a-part-01.tex:219	tex/chapters/appendix-a-part-01.tex:219	defined
target		equation	eq:appendix-abstract-interpolation-physical	label	tex/chapters/appendix-a-part-01.tex:228	tex/chapters/appendix-a-part-01.tex:228	defined
target		definition	def:appendix-regular-triangulation	label	tex/chapters/appendix-a-part-01.tex:257	tex/chapters/appendix-a-part-01.tex:257	defined
target		equation	eq:appendix-regular-triangulation	label	tex/chapters/appendix-a-part-01.tex:260	tex/chapters/appendix-a-part-01.tex:260	defined
target		equation	eq:appendix-uniformly-regular-triangulation	label	tex/chapters/appendix-a-part-01.tex:268	tex/chapters/appendix-a-part-01.tex:268	defined
target		remark	rem:appendix-local-interpolation-estimate	label	tex/chapters/appendix-a-part-01.tex:277	tex/chapters/appendix-a-part-01.tex:277	defined
target		equation	eq:appendix-local-interpolation-estimate	label	tex/chapters/appendix-a-part-01.tex:280	tex/chapters/appendix-a-part-01.tex:280	defined
target		equation	eq:appendix-standard-triangular-fem-spaces	label	tex/chapters/appendix-a-part-01.tex:299	tex/chapters/appendix-a-part-01.tex:299	defined
target		equation	eq:appendix-principal-lattice-simplex	label	tex/chapters/appendix-a-part-01.tex:316	tex/chapters/appendix-a-part-01.tex:316	defined
target		figure	fig:appendix-principal-lattice-order-three	label	tex/chapters/appendix-a-part-01.tex:332	tex/chapters/appendix-a-part-01.tex:332	defined
target		lemma	lem:appendix-lagrange-interpolation	label	tex/chapters/appendix-a-part-01.tex:339	tex/chapters/appendix-a-part-01.tex:339	defined
target		equation	eq:appendix-lagrange-interpolant-definition	label	tex/chapters/appendix-a-part-01.tex:342	tex/chapters/appendix-a-part-01.tex:342	defined
