Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:navier-centered-finite-elements	label	tex/chapters/chapter-04-section-04-part-01.tex:4	tex/chapters/chapter-04-section-04-part-01.tex:4	defined
target		subsection	subsec:navier-centered-discontinuous-pressure	label	tex/chapters/chapter-04-section-04-part-01.tex:14	tex/chapters/chapter-04-section-04-part-01.tex:14	defined
target		equation	eq:navier-centered-continuous-mixed	label	tex/chapters/chapter-04-section-04-part-01.tex:35	tex/chapters/chapter-04-section-04-part-01.tex:35	defined
target		equation	eq:navier-centered-discrete-mixed	label	tex/chapters/chapter-04-section-04-part-01.tex:49	tex/chapters/chapter-04-section-04-part-01.tex:49	defined
target		equation	eq:navier-centered-h1-approximation	label	tex/chapters/chapter-04-section-04-part-01.tex:68	tex/chapters/chapter-04-section-04-part-01.tex:68	defined
target		equation	eq:navier-centered-h2-approximation	label	tex/chapters/chapter-04-section-04-part-01.tex:77	tex/chapters/chapter-04-section-04-part-01.tex:77	defined
target		equation	eq:navier-centered-h3-infsup	label	tex/chapters/chapter-04-section-04-part-01.tex:86	tex/chapters/chapter-04-section-04-part-01.tex:86	defined
target		theorem	thm:navier-centered-discontinuous-branch	label	tex/chapters/chapter-04-section-04-part-01.tex:97	tex/chapters/chapter-04-section-04-part-01.tex:97	defined
target		equation	eq:navier-centered-discontinuous-convergence	label	tex/chapters/chapter-04-section-04-part-01.tex:118	tex/chapters/chapter-04-section-04-part-01.tex:118	defined
target		equation	eq:navier-centered-discontinuous-hm-error	label	tex/chapters/chapter-04-section-04-part-01.tex:129	tex/chapters/chapter-04-section-04-part-01.tex:129	defined
target		equation	eq:navier-centered-stokes-operator	label	tex/chapters/chapter-04-section-04-part-01.tex:145	tex/chapters/chapter-04-section-04-part-01.tex:145	defined
target		equation	eq:navier-centered-stokes-operator-convergence	label	tex/chapters/chapter-04-section-04-part-01.tex:212	tex/chapters/chapter-04-section-04-part-01.tex:212	defined
target		equation	eq:navier-centered-stokes-hm-error	label	tex/chapters/chapter-04-section-04-part-01.tex:229	tex/chapters/chapter-04-section-04-part-01.tex:229	defined
target		equation	eq:navier-centered-stokes-regularity	label	tex/chapters/chapter-04-section-04-part-01.tex:335	tex/chapters/chapter-04-section-04-part-01.tex:335	defined
target		theorem	thm:navier-centered-discontinuous-l2-error	label	tex/chapters/chapter-04-section-04-part-01.tex:344	tex/chapters/chapter-04-section-04-part-01.tex:344	defined
target		equation	eq:navier-centered-discontinuous-l2-error	label	tex/chapters/chapter-04-section-04-part-01.tex:350	tex/chapters/chapter-04-section-04-part-01.tex:350	defined
target		equation	eq:navier-centered-fredholm-kernel	label	tex/chapters/chapter-04-section-04-part-01.tex:436	tex/chapters/chapter-04-section-04-part-01.tex:436	defined
target		equation	eq:navier-centered-two-dimensional-regularity	label	tex/chapters/chapter-04-section-04-part-01.tex:476	tex/chapters/chapter-04-section-04-part-01.tex:476	defined
reference	本节把 Chapters~\ref{chap:stokes-primitive-variables} 和	chapter	chap:stokes-primitive-variables	ref	tex/chapters/chapter-04-section-04-part-01.tex:6	tex/chapters/chapter-02-section-01-part-01.tex:15	resolved
reference	\ref{chap:incompressible-mixed-stokes} 中为求解 Stokes 问题而发展的多数有限元方法应用于	chapter	chap:incompressible-mixed-stokes	ref	tex/chapters/chapter-04-section-04-part-01.tex:7	tex/chapters/chapter-03-section-01-part-01.tex:16	resolved
reference	Navier--Stokes 方程. 少数例外之一是 Section~\ref{sec:incompressible-vector-potential-vorticity}	section	sec:incompressible-vector-potential-vorticity	ref	tex/chapters/chapter-04-section-04-part-01.tex:9	tex/chapters/chapter-03-section-05-part-01.tex:5	resolved
reference	这里采用 Subsection~\ref{subsec:primitive-homogeneous-stokes} 的情形.	subsection	subsec:primitive-homogeneous-stokes	ref	tex/chapters/chapter-04-section-04-part-01.tex:16	tex/chapters/chapter-02-section-01-part-02.tex:345	resolved
reference	回顾 Subsection~\ref{subsec:primitive-homogeneous-stokes} 中为逼近 Stokes 系统而引入的	subsection	subsec:primitive-homogeneous-stokes	ref	tex/chapters/chapter-04-section-04-part-01.tex:62	tex/chapters/chapter-02-section-01-part-02.tex:345	resolved
reference	在这些假设下, 应用 Subsection~\ref{subsec:navier-branch-nonlinear-application}	subsection	subsec:navier-branch-nonlinear-application	ref	tex/chapters/chapter-04-section-04-part-01.tex:93	tex/chapters/chapter-04-section-03-part-03.tex:4	resolved
reference	是 Navier--Stokes Problem~\eqref{eq:navier-centered-continuous-mixed}	equation	eq:navier-centered-continuous-mixed	eqref	tex/chapters/chapter-04-section-04-part-01.tex:103	tex/chapters/chapter-04-section-04-part-01.tex:35	resolved
reference	是 Problem~\eqref{eq:navier-centered-discrete-mixed} 的解分支, 使	equation	eq:navier-centered-discrete-mixed	eqref	tex/chapters/chapter-04-section-04-part-01.tex:111	tex/chapters/chapter-04-section-04-part-01.tex:49	resolved
reference	以如下选择应用 Theorem~\ref{thm:navier-branch-operator-approximation}:	theorem	thm:navier-branch-operator-approximation	ref	tex/chapters/chapter-04-section-04-part-01.tex:138	tex/chapters/chapter-04-section-03-part-03.tex:61	resolved
reference	的解. 对固定的 $\boldsymbol f$, 像 \eqref{eq:navier-branch-ns-nonlinear-map}	equation	eq:navier-branch-ns-nonlinear-map	eqref	tex/chapters/chapter-04-section-04-part-01.tex:157	tex/chapters/chapter-04-section-03-part-01.tex:83	resolved
reference	现在确定空间 $Z$. 由 Theorem~\ref{thm:sobolev-embedding},	theorem	thm:sobolev-embedding	ref	tex/chapters/chapter-04-section-04-part-01.tex:174	tex/chapters/chapter-01-section-01-part-02.tex:27	resolved
reference	再由 Corollary~\ref{cor:sobolev-product}, 对	corollary	cor:sobolev-product	ref	tex/chapters/chapter-04-section-04-part-01.tex:180	tex/chapters/chapter-01-section-01-part-02.tex:55	resolved
reference	再次应用 Theorem~\ref{thm:sobolev-embedding} 可知, 当 $q>6/5$ 时,	theorem	thm:sobolev-embedding	ref	tex/chapters/chapter-04-section-04-part-01.tex:188	tex/chapters/chapter-01-section-01-part-02.tex:27	resolved
reference	且这一嵌入是紧的, 并且 \eqref{eq:navier-branch-derivative-into-z} 成立.	equation	eq:navier-branch-derivative-into-z	eqref	tex/chapters/chapter-04-section-04-part-01.tex:193	tex/chapters/chapter-04-section-03-part-03.tex:30	resolved
reference	的解. 由 Theorem~\ref{thm:primitive-homogeneous-stokes-convergence}, 在 H1, H2,	theorem	thm:primitive-homogeneous-stokes-convergence	ref	tex/chapters/chapter-04-section-04-part-01.tex:210	tex/chapters/chapter-02-section-01-part-03.tex:5	resolved
reference	如 Remark~\ref{rem:navier-branch-compact-operator-approximation} 末尾所述,	remark	rem:navier-branch-compact-operator-approximation	ref	tex/chapters/chapter-04-section-04-part-01.tex:241	tex/chapters/chapter-04-section-03-part-03.tex:44	resolved
reference	\eqref{eq:navier-centered-stokes-operator-convergence} 蕴含	equation	eq:navier-centered-stokes-operator-convergence	eqref	tex/chapters/chapter-04-section-04-part-01.tex:243	tex/chapters/chapter-04-section-04-part-01.tex:212	resolved
reference	所以 \eqref{eq:navier-branch-strong-operator-convergence} 和	equation	eq:navier-branch-strong-operator-convergence	eqref	tex/chapters/chapter-04-section-04-part-01.tex:247	tex/chapters/chapter-04-section-03-part-03.tex:38	resolved
reference	\eqref{eq:navier-branch-z-operator-convergence} 成立.	equation	eq:navier-branch-z-operator-convergence	eqref	tex/chapters/chapter-04-section-04-part-01.tex:248	tex/chapters/chapter-04-section-03-part-03.tex:40	resolved
reference	Problem~\eqref{eq:navier-centered-discrete-mixed} 可写成	equation	eq:navier-centered-discrete-mixed	eqref	tex/chapters/chapter-04-section-04-part-01.tex:257	tex/chapters/chapter-04-section-04-part-01.tex:49	resolved
reference	因此可应用 Theorem~\ref{thm:navier-branch-operator-approximation} 的结论:	theorem	thm:navier-branch-operator-approximation	ref	tex/chapters/chapter-04-section-04-part-01.tex:282	tex/chapters/chapter-04-section-03-part-03.tex:61	resolved
reference	Problem~\eqref{eq:navier-centered-discrete-mixed} 的唯一非奇异解分支	equation	eq:navier-centered-discrete-mixed	eqref	tex/chapters/chapter-04-section-04-part-01.tex:284	tex/chapters/chapter-04-section-04-part-01.tex:49	resolved
reference	此外, 由 Remark~\ref{rem:navier-branch-higher-regularity}, 映射	remark	rem:navier-branch-higher-regularity	ref	tex/chapters/chapter-04-section-04-part-01.tex:300	tex/chapters/chapter-04-section-03-part-03.tex:154	resolved
reference	关于收敛性和误差界, \eqref{eq:navier-branch-operator-error} 蕴含	equation	eq:navier-branch-operator-error	eqref	tex/chapters/chapter-04-section-04-part-01.tex:305	tex/chapters/chapter-04-section-03-part-03.tex:79	resolved
reference	所以 \eqref{eq:navier-centered-discontinuous-convergence} 由	equation	eq:navier-centered-discontinuous-convergence	eqref	tex/chapters/chapter-04-section-04-part-01.tex:311	tex/chapters/chapter-04-section-04-part-01.tex:118	resolved
reference	\eqref{eq:navier-centered-stokes-operator-convergence} 得到. 又因为	equation	eq:navier-centered-stokes-operator-convergence	eqref	tex/chapters/chapter-04-section-04-part-01.tex:312	tex/chapters/chapter-04-section-04-part-01.tex:212	resolved
reference	的解, 误差估计 \eqref{eq:primitive-stokes-h1-pressure-error} 给出	equation	eq:primitive-stokes-h1-pressure-error	eqref	tex/chapters/chapter-04-section-04-part-01.tex:321	tex/chapters/chapter-02-section-01-part-03.tex:24	resolved
