pdf_page	printed_page	part	chapter	section	scan_classification	source_image	mapping_confidence
1		front-matter		front-cover	scan-poor	workspace/pages/original/diagnostic-120dpi/page-001.png	medium
2		front-matter		scanner-leaf	problematic	workspace/pages/original/diagnostic-120dpi/page-002.png	medium
3		front-matter		library-stamp	scan-poor	workspace/pages/original/diagnostic-120dpi/page-003.png	medium
4		front-matter		digitization-notice	scan-poor	workspace/pages/original/diagnostic-120dpi/page-004.png	medium
5		front-matter		series-title	scan-poor	workspace/pages/original/diagnostic-120dpi/page-005.png	medium
6		front-matter		scanner-leaf	problematic	workspace/pages/original/diagnostic-120dpi/page-006.png	medium
7		front-matter		title-page	scan-poor	workspace/pages/original/diagnostic-120dpi/page-007.png	medium
8		front-matter		copyright-page	scan-good	workspace/pages/original/diagnostic-120dpi/page-008.png	medium
9	v	front-matter		preface	scan-good	workspace/pages/original/diagnostic-120dpi/page-009.png	high
10	vi	front-matter		preface	scan-good	workspace/pages/original/diagnostic-120dpi/page-010.png	high
11	vii	front-matter		table-of-contents	scan-good	workspace/pages/original/diagnostic-120dpi/page-011.png	high
12	viii	front-matter		table-of-contents	scan-good	workspace/pages/original/diagnostic-120dpi/page-012.png	high
13	ix	front-matter		table-of-contents	scan-good	workspace/pages/original/diagnostic-120dpi/page-013.png	high
14	x	front-matter		table-of-contents	scan-medium	workspace/pages/original/diagnostic-120dpi/page-014.png	high
15	1	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-015.png	high
16	2	body	I	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-016.png	high
17	3	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-017.png	high
18	4	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-018.png	high
19	5	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-019.png	high
20	6	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-020.png	high
21	7	body	I	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-021.png	high
22	8	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-022.png	high
23	9	body	I	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-023.png	high
24	10	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-024.png	high
25	11	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-025.png	high
26	12	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-026.png	high
27	13	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-027.png	high
28	14	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-028.png	high
29	15	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-029.png	high
30	16	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-030.png	high
31	17	body	I	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-031.png	high
32	18	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-032.png	high
33	19	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-033.png	high
34	20	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-034.png	high
35	21	body	I	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-035.png	high
36	22	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-036.png	high
37	23	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-037.png	high
38	24	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-038.png	high
39	25	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-039.png	high
40	26	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-040.png	high
41	27	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-041.png	high
42	28	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-042.png	high
