English	Preferred Chinese	Domain	Context	Forbidden Alternatives	Status	First Source	First Location	Last Verified Source	Last Verified Location	Notes
regularity	正则性	analysis	regularity assumptions on variables characterising a flow		proposed	Chapter I, Section 2	PDF 17 / printed 5	Chapter I, Section 2	PDF 17 / printed 5	Book-local candidate; no matching global entry
transport theorem	输运定理	fluid mechanics	differentiation of an integral over a moving fluid element		proposed	Chapter I, Section 2	PDF 17 / printed 5	Chapter I, Section 2	PDF 17 / printed 5	Book-local candidate; no matching global entry
fluid element	流体元	fluid mechanics	moving domain Omega_t transported by the flow		proposed	Chapter I, Section 2	PDF 17 / printed 5	Chapter I, Section 2	PDF 17 / printed 5	Book-local candidate; no matching global entry
scalar quantity	标量	analysis	quantity integrated over a fluid element		proposed	Chapter I, Section 2	PDF 17 / printed 5	Chapter I, Section 2	PDF 17 / printed 5	Book-local candidate; no matching global entry
smooth diffeomorphism	光滑微分同胚	analysis	regularity of the map phi_t		proposed	Chapter I, Section 2	PDF 17 / printed 5	Chapter I, Section 2	PDF 17 / printed 5	Book-local candidate; no matching global entry
Jacobian determinant	Jacobian 行列式	analysis	determinant of the derivative of x mapping to phi(t,x)		proposed	Chapter I, Section 2	PDF 17 / printed 5	Chapter I, Section 2	PDF 17 / printed 5	Eponymic modifier preserved in source form
row vector	行向量	linear algebra	vectors L_k and M_k formed from matrix rows		proposed	Chapter I, Section 2	PDF 18 / printed 6	Chapter I, Section 2	PDF 18 / printed 6	Book-local candidate; no matching global entry
trilinear	三线性	linear algebra	determinant as a function of its three rows		proposed	Chapter I, Section 2	PDF 17 / printed 5	Chapter I, Section 2	PDF 18 / printed 6	Book-local candidate; no matching global entry
alternating	交错	linear algebra	determinant property used in the proof		proposed	Chapter I, Section 2	PDF 18 / printed 6	Chapter I, Section 2	PDF 18 / printed 6	Book-local candidate; no matching global entry
differentiation under the integral sign	积分号下求导	analysis	theorem used after the Jacobian calculation		proposed	Chapter I, Section 2	PDF 18 / printed 6	Chapter I, Section 2	PDF 19 / printed 7	Book-local candidate; no matching global entry
vector equation	向量方程	analysis	vector-valued generalisation of the transport identity		proposed	Chapter I, Section 2	PDF 19 / printed 7	Chapter I, Section 2	PDF 19 / printed 7	Book-local candidate; no matching global entry
mathematical modelling	数学建模	applied mathematics	modelling in fluid mechanics		proposed	Preface	PDF 3	Preface	PDF 3	Book-local candidate; no matching approved global entry
nonlinear evolution partial differential equation	非线性演化偏微分方程	partial differential equations	general class of equations studied using the book's tools		proposed	Preface	PDF 3	Preface	PDF 3	Book-local candidate; no matching approved global entry
weak convergence	弱收敛	functional analysis	convergence in a Banach space		proposed	Preface	PDF 3	Preface	PDF 3	Book-local candidate; no matching approved global entry
weak-* convergence	弱-* 收敛	functional analysis	weak-star convergence in a Banach dual setting		proposed	Preface	PDF 3	Preface	PDF 3	Asterisk preserved
Bochner integral	Bochner 积分	functional analysis	integration of Banach-valued functions		proposed	Preface	PDF 3	Preface	PDF 3	Personal name preserved
Lipschitz domain	Lipschitz 区域	analysis	domain with Lipschitz boundary charts		proposed	Preface	PDF 3	Preface	PDF 3	Personal name preserved
mollifying operator	磨光算子	analysis	operator used to approximate by smooth functions		proposed	Preface	PDF 3	Preface	PDF 3	Book-local candidate; review against later formal definition
trace lifting operator	迹提升算子	functional analysis	right-inverse associated with the trace operator		proposed	Preface	PDF 3	Preface	PDF 3	Book-local candidate; no matching approved global entry
tangential Sobolev space	切向 Sobolev 空间	functional analysis	Sobolev regularity along a boundary		proposed	Preface	PDF 3	Preface	PDF 3	Personal name preserved
divergence-free vector field	无散向量场	vector analysis	vector field with zero divergence		proposed	Preface	PDF 4	Preface	PDF 4	Book-local candidate; no matching approved global entry
semigroup approach	半群方法	functional analysis	semigroup treatment of the unsteady Stokes problem		proposed	Preface	PDF 4	Preface	PDF 4	Book-local candidate; no matching approved global entry
parabolic regularisation	抛物正则化	partial differential equations	regularisation property of an evolution system		proposed	Preface	PDF 4	Preface	PDF 4	Book-local candidate; no matching approved global entry
renormalized solution	重整化解	transport equations	Di Perna–Lions solution concept		proposed	Preface	PDF 4	Preface	PDF 4	Personal names preserved in contextual use
outflow boundary condition	出流边界条件	fluid mechanics	boundary condition on an artificial outflow boundary		proposed	Preface	PDF 4	Preface	PDF 4	Book-local candidate; no matching approved global entry
momentum flux	动量通量	fluid mechanics	momentum transported across an outflow boundary		proposed	Preface	PDF 4	Preface	PDF 4	Book-local candidate; no matching approved global entry
penalty method	罚方法	numerical analysis	method imposing boundary conditions through penalisation		proposed	Preface	PDF 4	Preface	PDF 4	Book-local candidate; no matching approved global entry
penalisation parameter	罚参数	numerical analysis	parameter tending to zero in the penalty method		proposed	Preface	PDF 5	Preface	PDF 5	Book-local candidate; no matching approved global entry
boundary layer	边界层	partial differential equations	layer used to describe penalised-solution convergence		proposed	Preface	PDF 5	Preface	PDF 5	Book-local candidate; no matching approved global entry
continuous medium	连续介质	continuum mechanics	macroscopic description valid above the mean-free-path scale		proposed	Chapter I, Section 1	PDF 13 / printed 1	Chapter I, Section 1	PDF 15 / printed 3	Book-local candidate; no matching approved global entry
