Source Form	Canonical Form	Category	First Occurrence	Language or Script	Preserve Exactly	Review Status	Notes
Franck Boyer	Franck Boyer	author	PDF 1 / title page	Latin	Yes	reviewed	Natural-person name preserved exactly
Pierre Fabrie	Pierre Fabrie	author	PDF 1 / title page	Latin	Yes	reviewed	Natural-person name preserved exactly
Jacobian	Jacobian	eponymic modifier	PDF 17 / printed 5	Latin	Yes	reviewed	Source adjective preserved exactly in Jacobian determinant
Banach	Banach	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Preserved in Banach space
Bochner	Bochner	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Preserved in Bochner integral
Sobolev	Sobolev	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Preserved in Sobolev space
Lipschitz	Lipschitz	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Preserved in Lipschitz domain
Stokes	Stokes	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Preserved in Stokes equation and Stokes formula
Navier	Navier	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Preserved in Navier–Stokes equation
Poincaré	Poincaré	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Accent preserved exactly
Hardy	Hardy	eponymic modifier	PDF 3 / Preface	Latin	Yes	reviewed	Preserved in Hardy inequality
Dirichlet	Dirichlet	eponymic modifier	PDF 4 / Preface	Latin	Yes	reviewed	Preserved in Dirichlet boundary condition
Neumann	Neumann	eponymic modifier	PDF 4 / Preface	Latin	Yes	reviewed	Preserved in Neumann boundary condition
Nečas	Nečas	eponymic modifier	PDF 4 / Preface	Latin	Yes	reviewed	Caron preserved exactly
Di Perna–Lions	Di Perna–Lions	eponymic compound	PDF 4 / Preface	Latin	Yes	reviewed	Spaces and en dash preserved in rendered output
Maxwell	Maxwell	eponymic modifier	PDF 13 / printed 1	Latin	Yes	reviewed	Preserved in historical attribution
Lagrangian	Lagrangian	eponymic adjective	PDF 15 / printed 3	Latin	Yes	reviewed	Preserved in coordinate-system terminology
Eulerian	Eulerian	eponymic adjective	PDF 15 / printed 3	Latin	Yes	reviewed	Preserved in coordinate-system terminology
Euler	Euler	person	PDF 15 / printed 3	Latin	Yes	reviewed	Preserved in historical attribution
