Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		appendix	chap:appendix-classic-differential-operators	label	tex/chapters/app-a-sec01.tex:4	tex/chapters/app-a-sec01.tex:4	defined
target		appendix alias	app:vector-operator-identities	label	tex/chapters/app-a-sec01.tex:5	tex/chapters/app-a-sec01.tex:5	defined
target		section	sec:app-a-scalar-vector-cases	label	tex/chapters/app-a-sec01.tex:16	tex/chapters/app-a-sec01.tex:16	defined
target		subsection	subsec:app-a-definitions	label	tex/chapters/app-a-sec01.tex:19	tex/chapters/app-a-sec01.tex:19	defined
target	Definition A.1.1	definition	def:app-a-basic-vector-operators	label	tex/chapters/app-a-sec01.tex:22	tex/chapters/app-a-sec01.tex:22	defined
target	Proposition A.1.2	proposition	prop:app-a-cylindrical-formulas	label	tex/chapters/app-a-sec01.tex:74	tex/chapters/app-a-sec01.tex:74	defined
target	(A.1)	equation	eq:app-a-cylindrical-divergence	label	tex/chapters/app-a-sec01.tex:85	tex/chapters/app-a-sec01.tex:85	defined
target	(A.2)	equation	eq:app-a-cylindrical-laplacian	label	tex/chapters/app-a-sec01.tex:93	tex/chapters/app-a-sec01.tex:93	defined
target		subsection	subsec:app-a-useful-formulas	label	tex/chapters/app-a-sec01.tex:106	tex/chapters/app-a-sec01.tex:106	defined
target	(A.3)	equation	eq:app-a-vector-triple-product	label	tex/chapters/app-a-sec01.tex:111	tex/chapters/app-a-sec01.tex:111	defined
target	(A.4)	equation	eq:app-a-div-scalar-vector	label	tex/chapters/app-a-sec01.tex:116	tex/chapters/app-a-sec01.tex:116	defined
target	(A.5)	equation	eq:app-a-curl-scalar-vector	label	tex/chapters/app-a-sec01.tex:118	tex/chapters/app-a-sec01.tex:118	defined
target	(A.6)	equation	eq:app-a-convective-identity	label	tex/chapters/app-a-sec01.tex:120	tex/chapters/app-a-sec01.tex:120	defined
target	(A.7)	equation	eq:app-a-div-vector-product	label	tex/chapters/app-a-sec01.tex:122	tex/chapters/app-a-sec01.tex:122	defined
target	(A.8)	equation	eq:app-a-curl-vector-product	label	tex/chapters/app-a-sec01.tex:125	tex/chapters/app-a-sec01.tex:125	defined
target	(A.9)	equation	eq:app-a-curl-curl	label	tex/chapters/app-a-sec01.tex:127	tex/chapters/app-a-sec01.tex:127	defined
