Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target	References	backmatter	backmatter:references	label	tex/backmatter-references.tex:3	tex/backmatter-references.tex:3	defined
target	[1]	bibliography-entry	bib:source-1	bibitem	tex/backmatter-references.tex:6	tex/backmatter-references.tex:6	defined
target	[2]	bibliography-entry	bib:source-2	bibitem	tex/backmatter-references.tex:7	tex/backmatter-references.tex:7	defined
target	[3]	bibliography-entry	bib:source-3	bibitem	tex/backmatter-references.tex:8	tex/backmatter-references.tex:8	defined
target	[4]	bibliography-entry	bib:source-4	bibitem	tex/backmatter-references.tex:9	tex/backmatter-references.tex:9	defined
target	[5]	bibliography-entry	bib:source-5	bibitem	tex/backmatter-references.tex:10	tex/backmatter-references.tex:10	defined
target	[6]	bibliography-entry	bib:source-6	bibitem	tex/backmatter-references.tex:11	tex/backmatter-references.tex:11	defined
target	[7]	bibliography-entry	bib:source-7	bibitem	tex/backmatter-references.tex:12	tex/backmatter-references.tex:12	defined
target	[8]	bibliography-entry	bib:source-8	bibitem	tex/backmatter-references.tex:13	tex/backmatter-references.tex:13	defined
target	[9]	bibliography-entry	bib:source-9	bibitem	tex/backmatter-references.tex:14	tex/backmatter-references.tex:14	defined
target	[10]	bibliography-entry	bib:source-10	bibitem	tex/backmatter-references.tex:15	tex/backmatter-references.tex:15	defined
target	[11]	bibliography-entry	bib:source-11	bibitem	tex/backmatter-references.tex:16	tex/backmatter-references.tex:16	defined
target	[12]	bibliography-entry	bib:source-12	bibitem	tex/backmatter-references.tex:17	tex/backmatter-references.tex:17	defined
target	[13]	bibliography-entry	bib:source-13	bibitem	tex/backmatter-references.tex:18	tex/backmatter-references.tex:18	defined
target	[14]	bibliography-entry	bib:source-14	bibitem	tex/backmatter-references.tex:19	tex/backmatter-references.tex:19	defined
target	[15]	bibliography-entry	bib:source-15	bibitem	tex/backmatter-references.tex:20	tex/backmatter-references.tex:20	defined
target	[16]	bibliography-entry	bib:source-16	bibitem	tex/backmatter-references.tex:21	tex/backmatter-references.tex:21	defined
target	[17]	bibliography-entry	bib:source-17	bibitem	tex/backmatter-references.tex:22	tex/backmatter-references.tex:22	defined
target	[18]	bibliography-entry	bib:source-18	bibitem	tex/backmatter-references.tex:23	tex/backmatter-references.tex:23	defined
target	[19]	bibliography-entry	bib:source-19	bibitem	tex/backmatter-references.tex:24	tex/backmatter-references.tex:24	defined
target	[20]	bibliography-entry	bib:source-20	bibitem	tex/backmatter-references.tex:25	tex/backmatter-references.tex:25	defined
target	[21]	bibliography-entry	bib:source-21	bibitem	tex/backmatter-references.tex:26	tex/backmatter-references.tex:26	defined
target	[22]	bibliography-entry	bib:source-22	bibitem	tex/backmatter-references.tex:27	tex/backmatter-references.tex:27	defined
target	[23]	bibliography-entry	bib:source-23	bibitem	tex/backmatter-references.tex:28	tex/backmatter-references.tex:28	defined
target	[24]	bibliography-entry	bib:source-24	bibitem	tex/backmatter-references.tex:29	tex/backmatter-references.tex:29	defined
target	[25]	bibliography-entry	bib:source-25	bibitem	tex/backmatter-references.tex:30	tex/backmatter-references.tex:30	defined
target	[26]	bibliography-entry	bib:source-26	bibitem	tex/backmatter-references.tex:31	tex/backmatter-references.tex:31	defined
target	[27]	bibliography-entry	bib:source-27	bibitem	tex/backmatter-references.tex:32	tex/backmatter-references.tex:32	defined
target	[28]	bibliography-entry	bib:source-28	bibitem	tex/backmatter-references.tex:33	tex/backmatter-references.tex:33	defined
target	[29]	bibliography-entry	bib:source-29	bibitem	tex/backmatter-references.tex:34	tex/backmatter-references.tex:34	defined
target	[30]	bibliography-entry	bib:source-30	bibitem	tex/backmatter-references.tex:35	tex/backmatter-references.tex:35	defined
target	[31]	bibliography-entry	bib:source-31	bibitem	tex/backmatter-references.tex:36	tex/backmatter-references.tex:36	defined
target	[32]	bibliography-entry	bib:source-32	bibitem	tex/backmatter-references.tex:37	tex/backmatter-references.tex:37	defined
target	[33]	bibliography-entry	bib:source-33	bibitem	tex/backmatter-references.tex:38	tex/backmatter-references.tex:38	defined
target	[34]	bibliography-entry	bib:source-34	bibitem	tex/backmatter-references.tex:39	tex/backmatter-references.tex:39	defined
target	[35]	bibliography-entry	bib:source-35	bibitem	tex/backmatter-references.tex:40	tex/backmatter-references.tex:40	defined
target	[36]	bibliography-entry	bib:source-36	bibitem	tex/backmatter-references.tex:41	tex/backmatter-references.tex:41	defined
target	[37]	bibliography-entry	bib:source-37	bibitem	tex/backmatter-references.tex:42	tex/backmatter-references.tex:42	defined
target	[38]	bibliography-entry	bib:source-38	bibitem	tex/backmatter-references.tex:43	tex/backmatter-references.tex:43	defined
target	[39]	bibliography-entry	bib:source-39	bibitem	tex/backmatter-references.tex:44	tex/backmatter-references.tex:44	defined
target	[40]	bibliography-entry	bib:source-40	bibitem	tex/backmatter-references.tex:45	tex/backmatter-references.tex:45	defined
target	[41]	bibliography-entry	bib:source-41	bibitem	tex/backmatter-references.tex:46	tex/backmatter-references.tex:46	defined
target	[42]	bibliography-entry	bib:source-42	bibitem	tex/backmatter-references.tex:47	tex/backmatter-references.tex:47	defined
