Original Reference	Target Object	LaTeX Label	Translation Location	Status
Chapter I	The equations of fluid mechanics	chap:fluid-mechanics-equations	tex/chapters/ch01-sec01.tex:1	defined
Section I.1	Continuous description of a fluid	sec:chap1-continuous-description	tex/chapters/ch01-sec01.tex:7	defined
Section I.1.1	Continuous medium assumption and density	subsec:chap1-continuum-density	tex/chapters/ch01-sec01.tex:10	defined
Definition I.1.1	Density field	def:chap1-density-field	tex/chapters/ch01-sec01.tex:35	defined
Formula (I.1)	Mass represented by density	eq:chap1-density-mass	tex/chapters/ch01-sec01.tex:39	defined-and-referenced-with-eqref
Section I.1.2	Lagrangian and Eulerian coordinates	subsec:chap1-lagrangian-eulerian	tex/chapters/ch01-sec01.tex:55	defined
Definition I.1.2	Fluid element	def:chap1-fluid-element	tex/chapters/ch01-sec01.tex:64	defined
Formula (I.2)	Eulerian velocity definition	eq:chap1-velocity-definition	tex/chapters/ch01-sec01.tex:81	defined-and-referenced-with-eqref
Formula (I.3)	Lagrangian velocity relation	eq:chap1-velocity-lagrangian	tex/chapters/ch01-sec01.tex:88	defined-and-referenced-with-eqref
Remark I.1.1	Characteristic equation	rem:chap1-characteristic-equation	tex/chapters/ch01-sec01.tex:94	defined
Formula (I.4)	Characteristic equation	eq:chap1-characteristic-equation	tex/chapters/ch01-sec01.tex:98	defined
Formula (I.5)	Material derivative	eq:chap1-material-derivative	tex/chapters/ch01-sec01.tex:111	defined
[90, 66, 102, 127, 126, 123]	Bibliography entries	bib:source-90; bib:source-66; bib:source-102; bib:source-127; bib:source-126; bib:source-123	tex/chapters/ch01-sec01.tex:4	deferred-known-targets
[125]	Interactive illustration	bib:source-125	tex/chapters/ch01-sec01.tex:32	deferred-known-target
Appendix A	Classic differential operators	app:classic-differential-operators	tex/chapters/ch01-sec01.tex:53	deferred-known-target
Appendix B	Thermodynamics supplement	app:thermodynamics-supplement	tex/chapters/ch01-sec01.tex:4	deferred-known-target
