Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
[99]	Ascoli-theorem bibliography entry	bib:source-99	Section 3.1 introduction	deferred	Bibliography key is not yet available; no target guessed
(II.12)	Kolmogorov tightness condition	eq:chap2-kolmogorov-tightness	First item in proof of Theorem II.3.2	resolved	Uses \eqref
(II.11)	Kolmogorov translation condition	eq:chap2-kolmogorov-translations	First item in proof of Theorem II.3.2	resolved	Uses \eqref
(II.13)	Kolmogorov mollification estimate	eq:chap2-kolmogorov-mollification	Third item in proof of Theorem II.3.2	resolved	Uses \eqref
Ascoli theorem / Theorem II.3.1	Ascoli compactness theorem	thm:chap2-ascoli	Proofs of Theorem II.3.2 and Lemma II.3.6	resolved	Uses Theorem~\ref
Corollary II.2.8	Weakly convergent sequences are bounded	cor:chap2-weak-lower-semicontinuity	Proof of Proposition II.3.4	resolved	Uses Corollary~\ref
Lemma II.3.6	Compactness of the adjoint	lem:chap2-adjoint-compact	Proof of Proposition II.3.7	resolved	Uses Lemma~\ref
Proposition II.2.2	Density by annihilator criterion	prop:chap2-density-by-annihilator	Proof of Proposition II.3.7	resolved	Uses Proposition~\ref
Proposition II.2.1	Norm representation by duality	prop:chap2-norm-by-duality	Proof of Proposition II.3.7	resolved	Uses Proposition~\ref
Section 3 of Chapter V	Steady Navier--Stokes equations section	sec:chap5-steady-navier-stokes	Section 3.3 introduction	deferred	Target chapter has not been created; rendered by MBUnresolvedReference and not guessed
Chapter VI	Nonhomogeneous unsteady Navier--Stokes chapter	chap:nonhomogeneous-unsteady-navier-stokes	Section 3.3 introduction	deferred	Target chapter has not been created; rendered by MBUnresolvedReference and not guessed
[114]	Schauder fixed-point theorem bibliography entry	bib:source-114	Section 3.3 introduction	deferred	Bibliography key is not yet available; no target guessed
Brouwer/Schauder fixed-point theorem	Schauder fixed-point theorem	thm:chap2-schauder-fixed-point	Proof of Proposition II.3.11	resolved	Uses Theorem~\ref
(II.14)	Brouwer fixed-point identity	eq:chap2-brouwer-fixed-point	Proof of Proposition II.3.11	resolved	Uses \eqref
