English	Preferred Chinese	Domain	Context	Forbidden Alternatives	Status	First Source	First Location	Last Verified Source	Last Verified Location	Notes
stability	稳定性	numerical analysis	stability of time-discretization schemes		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 243 / printed 228	Navier Stokes Equations Theory and Numerical Analysis	PDF 244 / printed 229	Book-specific candidate; no matching approved global entry
a priori estimate	先验估计	numerical analysis	bounds established before solving the discrete problem		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 243 / printed 228	Navier Stokes Equations Theory and Numerical Analysis	PDF 243 / printed 228	Book-specific candidate; no matching approved global entry
approximate solution	近似解	numerical analysis	discrete solution in the stability argument		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 243 / printed 228	Navier Stokes Equations Theory and Numerical Analysis	PDF 244 / printed 229	Book-specific candidate; no matching approved global entry
variational formulation	变分表述	partial differential equations	weak formulation of the Stokes problem		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 30 / printed 15	Navier Stokes Equations Theory and Numerical Analysis	PDF 31 / printed 16	Book-specific candidate; global glossary has no context-matching approved entry
projection theorem	投影定理	functional analysis	coercive bilinear variational theorem		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 32 / printed 17	Navier Stokes Equations Theory and Numerical Analysis	PDF 35 / printed 20	Book-specific candidate; global glossary has no context-matching approved entry
coercive	强制的	functional analysis	coercive bilinear form on a Hilbert space		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 32 / printed 17	Navier Stokes Equations Theory and Numerical Analysis	PDF 32 / printed 17	Book-specific candidate; global glossary has no context-matching approved entry
stream function	流函数	fluid mechanics	scalar potential for a two-dimensional divergence-free field		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 41 / printed 26	Navier Stokes Equations Theory and Numerical Analysis	PDF 42 / printed 27	Book-specific candidate; global glossary has no context-matching approved entry
complementing boundary condition	补边界条件	elliptic systems	Agmon--Douglis--Nirenberg boundary condition		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 39 / printed 24	Navier Stokes Equations Theory and Numerical Analysis	PDF 39 / printed 24	Book-specific candidate; global glossary has no context-matching approved entry
internal approximation	内逼近	numerical analysis	approximation of normed spaces		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 43 / printed 28	Navier Stokes Equations Theory and Numerical Analysis	PDF 45 / printed 30	Book-specific candidate; global glossary has no context-matching approved entry
external approximation	外逼近	numerical analysis	approximation of normed spaces		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 44 / printed 29	Navier Stokes Equations Theory and Numerical Analysis	PDF 56 / printed 41	Book-specific candidate; global glossary has no context-matching approved entry
prolongation operator	延拓算子	numerical analysis	external approximation		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 44 / printed 29	Navier Stokes Equations Theory and Numerical Analysis	PDF 53 / printed 38	Book-specific candidate; global glossary has no context-matching approved entry
restriction operator	限制算子	numerical analysis	external approximation		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 44 / printed 29	Navier Stokes Equations Theory and Numerical Analysis	PDF 56 / printed 41	Book-specific candidate; global glossary has no context-matching approved entry
truncation error	截断误差	numerical analysis	external approximation		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 44 / printed 29	Navier Stokes Equations Theory and Numerical Analysis	PDF 44 / printed 29	Book-specific candidate; global glossary has no context-matching approved entry
discrete convergence	离散收敛	numerical analysis	external approximation		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 44 / printed 29	Navier Stokes Equations Theory and Numerical Analysis	PDF 44 / printed 29	Book-specific candidate; global glossary has no context-matching approved entry
vector-mesh	向量网格	numerical analysis	finite differences		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 49 / printed 34	Navier Stokes Equations Theory and Numerical Analysis	PDF 49 / printed 34	Book-specific candidate; global glossary has no context-matching approved entry
step function	阶梯函数	analysis and numerical analysis	finite-difference spaces		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 50 / printed 35	Navier Stokes Equations Theory and Numerical Analysis	PDF 59 / printed 44	Book-specific candidate; global glossary has no context-matching approved entry
discrete gradient operator	离散梯度算子	numerical analysis	pressure approximation		needs-review	Navier Stokes Equations Theory and Numerical Analysis	PDF 59 / printed 44	Navier Stokes Equations Theory and Numerical Analysis	PDF 59 / printed 44	Book-specific candidate; global glossary has no context-matching approved entry
