Unit ID	Source Pages	Title	Extraction Status	Structure Status	Translation Status	QA Status	Compilation Status	Blocking Issues	Output File
frontmatter	PDF 1--15	Title, Contents, Prefaces, and Foreword	complete	complete	complete	passed	passed	no blocking issues	output/frontmatter.pdf
chapter-01-section-01	PDF 16--30	Some function spaces	complete	complete	complete	passed	passed	no blocking issues	output/chapter-01-section-01.pdf
chapter-01-section-02	PDF 30--43	Existence and uniqueness for the Stokes equations	complete	complete	complete	passed	passed	no blocking issues	output/chapter-01-section-02.pdf
chapter-01-section-03	PDF 43--59	Discretization of the Stokes equations (I)	complete	complete	complete	passed	passed	no blocking issues	output/chapter-01-section-03.pdf
chapter-01-section-04	PDF 60--106	Discretization of Stokes equations (II)	complete	complete	complete	passed	passed	no blocking issues	output/chapter-01-section-04.pdf
chapter-01-section-05	PDF 106--113	Numerical algorithms	complete	complete	complete	passed	passed	no blocking issues	output/chapter-01-section-05.pdf
chapter-01-section-06	PDF 113--119	The penalty method	complete	complete	complete	passed	passed	no blocking issues	output/chapter-01-section-06.pdf
chapter-02-section-01	PDF 120--136	Existence and uniqueness theorems	complete	complete	complete	passed	passed	no blocking issues	output/chapter-02-section-01.pdf
chapter-02-section-02	PDF 136--148	Discrete inequalities and compactness theorems	complete	complete	complete	passed	passed	no blocking issues	output/chapter-02-section-02.pdf
chapter-02-section-03	PDF 149--165	Approximation of the stationary Navier--Stokes equations	complete	complete	complete	passed	passed	no blocking issues	output/chapter-02-section-03.pdf
chapter-02-section-04	PDF 165--181	Bifurcation theory and non-uniqueness results	complete	complete	complete	passed	passed	no blocking issues	output/chapter-02-section-04.pdf
chapter-03-section-01	PDF 182--197	The linear case	complete	complete	passed	passed	passed	Output: output/chapter-03-section-01.pdf; five non-blocking source anomalies recorded	tex/chapters/chapter-03/section-01.tex
chapter-03-section-02	PDF 197--203	Compactness theorems	pending	pending	pending	pending	pending		tex/chapters/chapter-03/section-02.tex
chapter-03-section-03	PDF 204--230	Existence and uniqueness theorems (n <= 4)	pending	pending	pending	pending	pending		tex/chapters/chapter-03/section-03.tex
chapter-03-section-04	PDF 231--238	Alternate proof of existence by semi-discretization	pending	pending	pending	pending	pending		tex/chapters/chapter-03/section-04.tex
chapter-03-section-05	PDF 239--260	General stability and convergence theorems	pending	pending	pending	pending	pending	sample PDF 243--244 is accepted and must be reused	tex/chapters/chapter-03/section-05.tex
chapter-03-section-06	PDF 261--281	Application of the general results	pending	pending	pending	pending	pending		tex/chapters/chapter-03/section-06.tex
chapter-03-section-07	PDF 282--301	Projection method	pending	pending	pending	pending	pending		tex/chapters/chapter-03/section-07.tex
chapter-03-section-08	PDF 302--325	Artificial compressibility method	pending	pending	pending	pending	pending		tex/chapters/chapter-03/section-08.tex
appendix-01	PDF 326--335	Properties of the Curl Operator	pending	pending	pending	pending	pending		tex/chapters/appendix-01.tex
appendix-02	PDF 336--351	Implementation of Non-conforming Linear Finite Elements	pending	pending	pending	pending	pending		tex/chapters/appendix-02.tex
appendix-03	PDF 352--395	Developments on Navier--Stokes Equations	pending	pending	pending	pending	pending		tex/chapters/appendix-03.tex
comments	PDF 396--403	Comments and Additional Comments	pending	pending	pending	pending	pending		tex/chapters/comments.tex
bibliography	PDF 404--421	Bibliographies	pending	pending	pending	pending	pending		tex/backmatter-bibliography.tex
index	PDF 422--426	Index	pending	pending	pending	pending	pending		tex/backmatter-index.tex
