Source Reference	Target Object	LaTeX Label	Translation Location
eq:app1-normalized-cut-potential	equation	eq:app1-normalized-cut-potential	tex/chapters/appendix-01.tex:131
eq:app1-flux-normalized-cut-potential	equation	eq:app1-flux-normalized-cut-potential	tex/chapters/appendix-01.tex:152
eq:app1-cut-variational-problem	equation	eq:app1-cut-variational-problem	tex/chapters/appendix-01.tex:161
eq:app1-normalized-cut-potential	equation	eq:app1-normalized-cut-potential	tex/chapters/appendix-01.tex:161
eq:app1-cut-variational-problem	equation	eq:app1-cut-variational-problem	tex/chapters/appendix-01.tex:161
eq:app1-normalized-cut-potential	equation	eq:app1-normalized-cut-potential	tex/chapters/appendix-01.tex:164
eq:app1-flux-normalized-cut-potential	equation	eq:app1-flux-normalized-cut-potential	tex/chapters/appendix-01.tex:168
eq:app1-cut-variational-problem	equation	eq:app1-cut-variational-problem	tex/chapters/appendix-01.tex:168
lem:app1-kernel-characterization	non-equation	lem:app1-kernel-characterization	tex/chapters/appendix-01.tex:178
eq:app1-H0-flux-characterization	equation	eq:app1-H0-flux-characterization	tex/chapters/appendix-01.tex:215
eq:app1-domain-regularity	equation	eq:app1-domain-regularity	tex/chapters/appendix-01.tex:237
eq:app1-domain-cuts	equation	eq:app1-domain-cuts	tex/chapters/appendix-01.tex:237
eq:app1-curl-H1-estimate	equation	eq:app1-curl-H1-estimate	tex/chapters/appendix-01.tex:340
eq:app1-curl-L2-estimate	equation	eq:app1-curl-L2-estimate	tex/chapters/appendix-01.tex:340
eq:app1-div-curl-H1-estimate	equation	eq:app1-div-curl-H1-estimate	tex/chapters/appendix-01.tex:340
eq:app1-curl-L2-estimate	equation	eq:app1-curl-L2-estimate	tex/chapters/appendix-01.tex:342
eq:app1-div-curl-H1-estimate	equation	eq:app1-div-curl-H1-estimate	tex/chapters/appendix-01.tex:348
eq:app1-curl-contradiction-sequence	equation	eq:app1-curl-contradiction-sequence	tex/chapters/appendix-01.tex:348
eq:app1-curl-H1-estimate	equation	eq:app1-curl-H1-estimate	tex/chapters/appendix-01.tex:358
eq:app1-domain-regularity	equation	eq:app1-domain-regularity	tex/chapters/appendix-01.tex:402
eq:app1-domain-cuts	equation	eq:app1-domain-cuts	tex/chapters/appendix-01.tex:402
eq:app1-div-curl-trace-space	equation	eq:app1-div-curl-trace-space	tex/chapters/appendix-01.tex:440
eq:app1-div-curl-H1-estimate	equation	eq:app1-div-curl-H1-estimate	tex/chapters/appendix-01.tex:440
eq:app1-domain-regularity	equation	eq:app1-domain-regularity	tex/chapters/appendix-01.tex:445
eq:app1-domain-cuts	equation	eq:app1-domain-cuts	tex/chapters/appendix-01.tex:445
eq:app1-div-curl-regularity-space	equation	eq:app1-div-curl-regularity-space	tex/chapters/appendix-01.tex:467
eq:app1-div-curl-trace-space	equation	eq:app1-div-curl-trace-space	tex/chapters/appendix-01.tex:474
eq:app1-div-curl-regularity-estimate	equation	eq:app1-div-curl-regularity-estimate	tex/chapters/appendix-01.tex:474
eq:app1-div-curl-H1-estimate	equation	eq:app1-div-curl-H1-estimate	tex/chapters/appendix-01.tex:474
eq:app1-div-curl-regularity-space	equation	eq:app1-div-curl-regularity-space	tex/chapters/appendix-01.tex:482
eq:app1-div-curl-regularity-estimate	equation	eq:app1-div-curl-regularity-estimate	tex/chapters/appendix-01.tex:492
prop:app1-div-curl-regularity	non-equation	prop:app1-div-curl-regularity	tex/chapters/appendix-01.tex:498
eq:app1-div-curl-regularity-estimate	equation	eq:app1-div-curl-regularity-estimate	tex/chapters/appendix-01.tex:500
eq:app1-domain-regularity	equation	eq:app1-domain-regularity	tex/chapters/appendix-01.tex:520
eq:app1-domain-cuts	equation	eq:app1-domain-cuts	tex/chapters/appendix-01.tex:520
eq:app1-boundary-component-flux	equation	eq:app1-boundary-component-flux	tex/chapters/appendix-01.tex:537
eq:app1-boundary-component-flux	equation	eq:app1-boundary-component-flux	tex/chapters/appendix-01.tex:543
lem:app1-curl-H1-H0	non-equation	lem:app1-curl-H1-H0	tex/chapters/appendix-01.tex:543
prop:app1-curl-range-characterization	non-equation	prop:app1-curl-range-characterization	tex/chapters/appendix-01.tex:543
prop:app1-div-curl-regularity	non-equation	prop:app1-div-curl-regularity	tex/chapters/appendix-01.tex:543
eq:app1-boundary-curl-trace	equation	eq:app1-boundary-curl-trace	tex/chapters/appendix-01.tex:543
eq:app1-boundary-component-flux	equation	eq:app1-boundary-component-flux	tex/chapters/appendix-01.tex:554
eq:app1-boundary-component-flux	equation	eq:app1-boundary-component-flux	tex/chapters/appendix-01.tex:566
thm:app1-nonhomogeneous-existence	non-equation	thm:app1-nonhomogeneous-existence	tex/chapters/appendix-01.tex:572
thm:app1-nonhomogeneous-existence	non-equation	thm:app1-nonhomogeneous-existence	tex/chapters/appendix-01.tex:601
thm:app1-nonhomogeneous-existence	non-equation	thm:app1-nonhomogeneous-existence	tex/chapters/appendix-01.tex:601
prop:app1-curl-range-characterization	non-equation	prop:app1-curl-range-characterization	tex/chapters/appendix-01.tex:601
prop:app1-div-curl-regularity	non-equation	prop:app1-div-curl-regularity	tex/chapters/appendix-01.tex:601
eq:app1-boundary-lifting-trilinear	equation	eq:app1-boundary-lifting-trilinear	tex/chapters/appendix-01.tex:610
eq:app1-boundary-lifting-divergence	equation	eq:app1-boundary-lifting-divergence	tex/chapters/appendix-01.tex:610
eq:app1-boundary-lifting-trace	equation	eq:app1-boundary-lifting-trace	tex/chapters/appendix-01.tex:610
eq:app1-boundary-lifting-trilinear	equation	eq:app1-boundary-lifting-trilinear	tex/chapters/appendix-01.tex:610
prop:app1-boundary-lifting	non-equation	prop:app1-boundary-lifting	tex/chapters/appendix-01.tex:617
