Source Reference	Target Object	LaTeX Label	Translation Location
thm:ch3-schemes-51-52-stability	non-equation	thm:ch3-schemes-51-52-stability	tex/chapters/chapter-03/section-06.tex:5
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-06.tex:5
sec:ch3-general-stability-convergence	non-equation	sec:ch3-general-stability-convergence	tex/chapters/chapter-03/section-06.tex:5
subsec:ch3-finite-differences-apx1	non-equation	subsec:ch3-finite-differences-apx1	tex/chapters/chapter-03/section-06.tex:7
subsec:ch3-conforming-finite-elements	non-equation	subsec:ch3-conforming-finite-elements	tex/chapters/chapter-03/section-06.tex:7
subsec:ch3-nonconforming-finite-elements	non-equation	subsec:ch3-nonconforming-finite-elements	tex/chapters/chapter-03/section-06.tex:7
subsec:ch3-numerical-algorithms-pressure	non-equation	subsec:ch3-numerical-algorithms-pressure	tex/chapters/chapter-03/section-06.tex:7
scheme:ch3-fully-implicit	non-equation	scheme:ch3-fully-implicit	tex/chapters/chapter-03/section-06.tex:7
scheme:ch3-explicit	non-equation	scheme:ch3-explicit	tex/chapters/chapter-03/section-06.tex:7
subsec:ch3-scheme-description	non-equation	subsec:ch3-scheme-description	tex/chapters/chapter-03/section-06.tex:13
thm:ch3-schemes-51-52-stability	non-equation	thm:ch3-schemes-51-52-stability	tex/chapters/chapter-03/section-06.tex:13
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-06.tex:13
eq:ch3-discrete-norm-lower-bound	equation	eq:ch3-discrete-norm-lower-bound	tex/chapters/chapter-03/section-06.tex:16
eq:ch3-discrete-stability-constant	equation	eq:ch3-discrete-stability-constant	tex/chapters/chapter-03/section-06.tex:16
eq:ch3-discrete-stability-constant	equation	eq:ch3-discrete-stability-constant	tex/chapters/chapter-03/section-06.tex:21
eq:ch3-apx1-stability-constant	equation	eq:ch3-apx1-stability-constant	tex/chapters/chapter-03/section-06.tex:46
eq:ch3-discrete-trilinear-cancellation	equation	eq:ch3-discrete-trilinear-cancellation	tex/chapters/chapter-03/section-06.tex:63
eq:ch3-discrete-trilinear-continuity	equation	eq:ch3-discrete-trilinear-continuity	tex/chapters/chapter-03/section-06.tex:63
eq:ch3-apx1-l4-bound-2d	equation	eq:ch3-apx1-l4-bound-2d	tex/chapters/chapter-03/section-06.tex:109
eq:ch3-apx1-l4-bound-3d	equation	eq:ch3-apx1-l4-bound-3d	tex/chapters/chapter-03/section-06.tex:109
eq:ch3-apx1-l2-bound	equation	eq:ch3-apx1-l2-bound	tex/chapters/chapter-03/section-06.tex:129
eq:ch3-apx1-bh-decomposition	equation	eq:ch3-apx1-bh-decomposition	tex/chapters/chapter-03/section-06.tex:129
eq:ch3-apx1-bh-prime-estimate	equation	eq:ch3-apx1-bh-prime-estimate	tex/chapters/chapter-03/section-06.tex:129
eq:ch3-apx1-bh-double-prime-estimate	equation	eq:ch3-apx1-bh-double-prime-estimate	tex/chapters/chapter-03/section-06.tex:129
eq:ch3-scheme-53-improved-trilinear-bound	equation	eq:ch3-scheme-53-improved-trilinear-bound	tex/chapters/chapter-03/section-06.tex:136
eq:ch3-apx1-stability-constant	equation	eq:ch3-apx1-stability-constant	tex/chapters/chapter-03/section-06.tex:144
eq:ch3-apx1-l2-bound	equation	eq:ch3-apx1-l2-bound	tex/chapters/chapter-03/section-06.tex:148
eq:ch3-apx1-bh-prime-estimate	equation	eq:ch3-apx1-bh-prime-estimate	tex/chapters/chapter-03/section-06.tex:148
eq:ch3-apx1-bh-double-prime-estimate	equation	eq:ch3-apx1-bh-double-prime-estimate	tex/chapters/chapter-03/section-06.tex:148
eq:ch3-apx1-s1	equation	eq:ch3-apx1-s1	tex/chapters/chapter-03/section-06.tex:148
scheme:ch3-fully-implicit	non-equation	scheme:ch3-fully-implicit	tex/chapters/chapter-03/section-06.tex:152
scheme:ch3-crank-nicholson	non-equation	scheme:ch3-crank-nicholson	tex/chapters/chapter-03/section-06.tex:152
scheme:ch3-linear-implicit	non-equation	scheme:ch3-linear-implicit	tex/chapters/chapter-03/section-06.tex:152
thm:ch3-scheme-53-stability	non-equation	thm:ch3-scheme-53-stability	tex/chapters/chapter-03/section-06.tex:152
lem:ch3-scheme-53-apriori-bounds	non-equation	lem:ch3-scheme-53-apriori-bounds	tex/chapters/chapter-03/section-06.tex:152
lem:ch3-scheme-53-apriori-bounds	non-equation	lem:ch3-scheme-53-apriori-bounds	tex/chapters/chapter-03/section-06.tex:166
eq:ch3-apx1-scheme53-stability-3d	equation	eq:ch3-apx1-scheme53-stability-3d	tex/chapters/chapter-03/section-06.tex:166
scheme:ch3-explicit	non-equation	scheme:ch3-explicit	tex/chapters/chapter-03/section-06.tex:168
thm:ch3-scheme-54-stability	non-equation	thm:ch3-scheme-54-stability	tex/chapters/chapter-03/section-06.tex:168
lem:ch3-scheme-54-apriori-bounds	non-equation	lem:ch3-scheme-54-apriori-bounds	tex/chapters/chapter-03/section-06.tex:168
eq:ch3-scheme-54-data-bound	equation	eq:ch3-scheme-54-data-bound	tex/chapters/chapter-03/section-06.tex:183
thm:ch3-convergence-two-dimensional	non-equation	thm:ch3-convergence-two-dimensional	tex/chapters/chapter-03/section-06.tex:185
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-06.tex:185
eq:ch3-convergence-identification-property	equation	eq:ch3-convergence-identification-property	tex/chapters/chapter-03/section-06.tex:197
eq:ch3-convergence-compactness-property	equation	eq:ch3-convergence-compactness-property	tex/chapters/chapter-03/section-06.tex:197
thm:ch3-convergence-two-dimensional	non-equation	thm:ch3-convergence-two-dimensional	tex/chapters/chapter-03/section-06.tex:198
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-06.tex:198
eq:ch3-convergence-identification-property	equation	eq:ch3-convergence-identification-property	tex/chapters/chapter-03/section-06.tex:198
eq:ch3-convergence-compactness-property	equation	eq:ch3-convergence-compactness-property	tex/chapters/chapter-03/section-06.tex:198
eq:ch3-convergence-identification-property	equation	eq:ch3-convergence-identification-property	tex/chapters/chapter-03/section-06.tex:200
lem:ch3-external-approximation-limit	non-equation	lem:ch3-external-approximation-limit	tex/chapters/chapter-03/section-06.tex:211
