Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		unknown	front:dedication	label	tex/frontmatter.tex:55	tex/frontmatter.tex:55	defined
target		unknown	front:contents	label	tex/frontmatter.tex:63	tex/frontmatter.tex:63	defined
target		unknown	front:preface-ams-chelsea	label	tex/frontmatter.tex:70	tex/frontmatter.tex:70	defined
target		unknown	front:preface-third-edition	label	tex/frontmatter.tex:94	tex/frontmatter.tex:94	defined
target		unknown	front:foreword	label	tex/frontmatter.tex:108	tex/frontmatter.tex:108	defined
unresolved	Appendix III	appendix		MBUnresolvedReference	tex/frontmatter.tex:75		needs-review
unresolved	Appendix III	appendix		MBUnresolvedReference	tex/frontmatter.tex:77		needs-review
unresolved	Proposition 1.1.1 前的脚注	source-note		MBUnresolvedReference	tex/frontmatter.tex:79		needs-review
unresolved	Remark 1.2.7	remark		MBUnresolvedReference	tex/frontmatter.tex:79		needs-review
unresolved	Remark 2.1.6(iii)	remark		MBUnresolvedReference	tex/frontmatter.tex:79		needs-review
unresolved	Appendix III	appendix		MBUnresolvedReference	tex/frontmatter.tex:79		needs-review
unresolved	Appendix III 的 Introduction	appendix-introduction		MBUnresolvedReference	tex/frontmatter.tex:83		needs-review
unresolved	修订版补充评论, printed page 381	comments		MBUnresolvedReference	tex/frontmatter.tex:99		needs-review
unresolved	Chapter 1	chapter		MBUnresolvedReference	tex/frontmatter.tex:113		needs-review
unresolved	Chapter 2	chapter		MBUnresolvedReference	tex/frontmatter.tex:113		needs-review
unresolved	Chapter 3	chapter		MBUnresolvedReference	tex/frontmatter.tex:113		needs-review
unresolved	Chapter 1	chapter		MBUnresolvedReference	tex/frontmatter.tex:115		needs-review
unresolved	Chapter 2	chapter		MBUnresolvedReference	tex/frontmatter.tex:115		needs-review
unresolved	Chapter 3	chapter		MBUnresolvedReference	tex/frontmatter.tex:115		needs-review
unresolved	Chapter 2	chapter		MBUnresolvedReference	tex/frontmatter.tex:117		needs-review
unresolved	Chapter 3	chapter		MBUnresolvedReference	tex/frontmatter.tex:119		needs-review
unresolved	Chapter 1	chapter		MBUnresolvedReference	tex/frontmatter.tex:119		needs-review
