Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:sample-general-stability-convergence	label	tex/chapters/sample.tex:3	tex/chapters/sample.tex:3	defined
target		section	sec:sample-scheme-stability	label	tex/chapters/sample.tex:8	tex/chapters/sample.tex:8	defined
target		subsection	subsec:sample-scheme-51	label	tex/chapters/sample.tex:13	tex/chapters/sample.tex:13	defined
target		lemma	lem:sample-scheme-51-bounds	label	tex/chapters/sample.tex:16	tex/chapters/sample.tex:16	defined
target		equation	eq:sample-scheme51-uniform-bound	label	tex/chapters/sample.tex:20	tex/chapters/sample.tex:20	defined
target		equation	eq:sample-scheme51-increment-bound	label	tex/chapters/sample.tex:24	tex/chapters/sample.tex:24	defined
target		equation	eq:sample-scheme51-energy-bound	label	tex/chapters/sample.tex:28	tex/chapters/sample.tex:28	defined
target		equation	eq:sample-data-bound-d2	label	tex/chapters/sample.tex:33	tex/chapters/sample.tex:33	defined
target		equation	eq:sample-polarization-identity	label	tex/chapters/sample.tex:42	tex/chapters/sample.tex:42	defined
target		equation	eq:sample-scheme51-test-estimate	label	tex/chapters/sample.tex:54	tex/chapters/sample.tex:54	defined
target		equation	eq:sample-scheme51-step-inequality	label	tex/chapters/sample.tex:62	tex/chapters/sample.tex:62	defined
target		equation	eq:sample-scheme51-summed-inequality	label	tex/chapters/sample.tex:71	tex/chapters/sample.tex:71	defined
target		equation	eq:sample-forcing-time-average-bound	label	tex/chapters/sample.tex:77	tex/chapters/sample.tex:77	defined
target		equation	eq:sample-data-bound-d2-repeated	label	tex/chapters/sample.tex:82	tex/chapters/sample.tex:82	defined
target		subsection	subsec:sample-scheme-52	label	tex/chapters/sample.tex:97	tex/chapters/sample.tex:97	defined
target		lemma	lem:sample-scheme-52-bounds	label	tex/chapters/sample.tex:100	tex/chapters/sample.tex:100	defined
target		equation	eq:sample-scheme52-uniform-bound	label	tex/chapters/sample.tex:104	tex/chapters/sample.tex:104	defined
target		equation	eq:sample-scheme52-energy-bound	label	tex/chapters/sample.tex:110	tex/chapters/sample.tex:110	defined
target		equation	eq:sample-scheme52-test-identity	label	tex/chapters/sample.tex:125	tex/chapters/sample.tex:125	defined
target		equation	eq:sample-scheme52-step-inequality	label	tex/chapters/sample.tex:133	tex/chapters/sample.tex:133	defined
reference	因此, 由 \MBUnresolvedReference{equation}{(5.11)} 和 \eqref{eq:sample-forcing-time-average-bound} 可知, \eqref{eq:sample-scheme51-summed-inequality} 的右端以	equation	eq:sample-forcing-time-average-bound	eqref	tex/chapters/sample.tex:79	tex/chapters/sample.tex:77	resolved
reference	因此, 由 \MBUnresolvedReference{equation}{(5.11)} 和 \eqref{eq:sample-forcing-time-average-bound} 可知, \eqref{eq:sample-scheme51-summed-inequality} 的右端以	equation	eq:sample-scheme51-summed-inequality	eqref	tex/chapters/sample.tex:79	tex/chapters/sample.tex:71	resolved
reference	为界. 这证明了 \eqref{eq:sample-scheme51-increment-bound} 和 \eqref{eq:sample-scheme51-energy-bound}.	equation	eq:sample-scheme51-increment-bound	eqref	tex/chapters/sample.tex:84	tex/chapters/sample.tex:24	resolved
reference	为界. 这证明了 \eqref{eq:sample-scheme51-increment-bound} 和 \eqref{eq:sample-scheme51-energy-bound}.	equation	eq:sample-scheme51-energy-bound	eqref	tex/chapters/sample.tex:84	tex/chapters/sample.tex:28	resolved
reference	然后将不等式 \eqref{eq:sample-scheme51-step-inequality} 对 $m=1,\ldots,r$ 相加, 并舍去一些正项, 得到	equation	eq:sample-scheme51-step-inequality	eqref	tex/chapters/sample.tex:86	tex/chapters/sample.tex:62	resolved
reference	其中最后一个不等式由上述结果得到. 因而 \eqref{eq:sample-scheme51-uniform-bound} 也得到证明.	equation	eq:sample-scheme51-uniform-bound	eqref	tex/chapters/sample.tex:93	tex/chapters/sample.tex:20	resolved
reference	其中的 $d_2$ 与 \eqref{eq:sample-data-bound-d2} 相同.	equation	eq:sample-data-bound-d2	eqref	tex/chapters/sample.tex:112	tex/chapters/sample.tex:33	resolved
