English	Preferred Chinese	Domain	Context	Forbidden Alternatives	Status	First Source	First Location	Last Verified Source	Last Verified Location	Notes
finite element multigrid methods	有限元多重网格方法	numerical analysis	Chapter 6 title		needs-review	The Mathematical Theory of Finite Element Methods	PDF 167	The Mathematical Theory of Finite Element Methods	PDF 167	Book-local candidate only
multigrid algorithm	多重网格算法	numerical analysis	Section 6.3 iterative method		needs-review	The Mathematical Theory of Finite Element Methods	PDF 171	The Mathematical Theory of Finite Element Methods	PDF 173	Book-local candidate only
iterative solver	迭代求解器	numerical analysis	solver defined by repeated updates		needs-review	The Mathematical Theory of Finite Element Methods	PDF 171	The Mathematical Theory of Finite Element Methods	PDF 171	Book-local candidate only
error correction	误差校正	numerical analysis	coarse-grid correction stage		needs-review	The Mathematical Theory of Finite Element Methods	PDF 171	The Mathematical Theory of Finite Element Methods	PDF 172	Book-local candidate only
intergrid transfer operator	网格间传递算子	numerical analysis	operator transferring data between finite element grids		needs-review	The Mathematical Theory of Finite Element Methods	PDF 171	The Mathematical Theory of Finite Element Methods	PDF 172	Book-local candidate only
natural injection	自然嵌入	functional analysis	the inclusion from V_{k-1} into V_k		needs-review	The Mathematical Theory of Finite Element Methods	PDF 171	The Mathematical Theory of Finite Element Methods	PDF 171	Book-local candidate only
full multigrid algorithm	完全多重网格算法	numerical analysis	nested multilevel iteration		needs-review	The Mathematical Theory of Finite Element Methods	PDF 173	The Mathematical Theory of Finite Element Methods	PDF 173	Book-local candidate only
nested iteration	嵌套迭代	numerical analysis	recursive full multigrid iteration		needs-review	The Mathematical Theory of Finite Element Methods	PDF 173	The Mathematical Theory of Finite Element Methods	PDF 173	Book-local candidate only
spectral radius	谱半径	linear algebra	spectral radius of A_k		needs-review	The Mathematical Theory of Finite Element Methods	PDF 172	The Mathematical Theory of Finite Element Methods	PDF 172	Book-local candidate only
V-cycle method	V-循环方法	numerical analysis	multigrid cycle with p=1		needs-review	The Mathematical Theory of Finite Element Methods	PDF 172	The Mathematical Theory of Finite Element Methods	PDF 172	Book-local candidate only
W-cycle method	W-循环方法	numerical analysis	multigrid cycle with p=2		needs-review	The Mathematical Theory of Finite Element Methods	PDF 172	The Mathematical Theory of Finite Element Methods	PDF 172	Book-local candidate only
coarse grid	粗网格	numerical analysis	lower-resolution grid used for error correction		needs-review	The Mathematical Theory of Finite Element Methods	PDF 171	The Mathematical Theory of Finite Element Methods	PDF 173	Book-local candidate only
finite element method	有限元方法	numerical analysis	general discretization formalism in Chapter 0		needs-review	The Mathematical Theory of Finite Element Methods	PDF 16	The Mathematical Theory of Finite Element Methods	PDF 37	Book-local candidate only
weak formulation	弱形式	partial differential equations	variational interpretation of a boundary value problem		needs-review	The Mathematical Theory of Finite Element Methods	PDF 17	The Mathematical Theory of Finite Element Methods	PDF 37	Book-local candidate only
variational formulation	变分形式	partial differential equations	variational interpretation of a boundary value problem		needs-review	The Mathematical Theory of Finite Element Methods	PDF 17	The Mathematical Theory of Finite Element Methods	PDF 25	Book-local candidate only
Ritz-Galerkin approximation	Ritz-Galerkin 逼近	numerical analysis	finite-dimensional variational approximation		needs-review	The Mathematical Theory of Finite Element Methods	PDF 18	The Mathematical Theory of Finite Element Methods	PDF 21	Hyphen and personal names preserved
stiffness matrix	刚度矩阵	finite element methods	matrix of the energy bilinear form		needs-review	The Mathematical Theory of Finite Element Methods	PDF 19	The Mathematical Theory of Finite Element Methods	PDF 37	Book-local candidate only
mass matrix	质量矩阵	finite element methods	matrix requested in Exercise 0.x.1		needs-review	The Mathematical Theory of Finite Element Methods	PDF 34	The Mathematical Theory of Finite Element Methods	PDF 34	Book-local candidate only
energy norm	能量范数	functional analysis	norm induced by the energy bilinear form		needs-review	The Mathematical Theory of Finite Element Methods	PDF 20	The Mathematical Theory of Finite Element Methods	PDF 36	Book-local candidate only
nodal basis	节点基	finite element methods	basis determined by values at mesh nodes		needs-review	The Mathematical Theory of Finite Element Methods	PDF 22	The Mathematical Theory of Finite Element Methods	PDF 35	Book-local candidate only
nodal value	节点值	finite element methods	value of a function at a mesh node		needs-review	The Mathematical Theory of Finite Element Methods	PDF 22	The Mathematical Theory of Finite Element Methods	PDF 22	Book-local candidate only
interpolant	插值函数	approximation theory	piecewise linear function matching nodal values		needs-review	The Mathematical Theory of Finite Element Methods	PDF 22	The Mathematical Theory of Finite Element Methods	PDF 24	Book-local candidate only
homogeneity argument	齐次性论证	approximation theory	scaling a mesh-dependent estimate to a reference interval		needs-review	The Mathematical Theory of Finite Element Methods	PDF 23	The Mathematical Theory of Finite Element Methods	PDF 35	Source also calls this a scaling argument
scaling argument	尺度变换论证	approximation theory	alternative source name for homogeneity argument		needs-review	The Mathematical Theory of Finite Element Methods	PDF 23	The Mathematical Theory of Finite Element Methods	PDF 23	Book-local candidate only
assembly	组装	finite element methods	summing element contributions to a global form		needs-review	The Mathematical Theory of Finite Element Methods	PDF 25	The Mathematical Theory of Finite Element Methods	PDF 27	Book-local candidate only
global-to-local index	全局到局部指标	finite element methods	mapping from an element-local node to global data		needs-review	The Mathematical Theory of Finite Element Methods	PDF 25	The Mathematical Theory of Finite Element Methods	PDF 26	Book-local candidate only
reference element	参考单元	finite element methods	fixed interval used for affine element mappings		needs-review	The Mathematical Theory of Finite Element Methods	PDF 26	The Mathematical Theory of Finite Element Methods	PDF 26	Book-local candidate only
local stiffness matrix	局部刚度矩阵	finite element methods	stiffness matrix on one reference element		needs-review	The Mathematical Theory of Finite Element Methods	PDF 27	The Mathematical Theory of Finite Element Methods	PDF 27	Book-local candidate only
adaptive approximation	自适应逼近	approximation theory	approximation on a mesh selected from properties of the function		needs-review	The Mathematical Theory of Finite Element Methods	PDF 28	The Mathematical Theory of Finite Element Methods	PDF 30	Book-local candidate only
weighted norm estimate	加权范数估计	finite element methods	error estimate involving the local mesh-size function		needs-review	The Mathematical Theory of Finite Element Methods	PDF 30	The Mathematical Theory of Finite Element Methods	PDF 34	Book-local candidate only
mesh grading	网格分级	finite element methods	controlled variation of adjacent mesh sizes		needs-review	The Mathematical Theory of Finite Element Methods	PDF 34	The Mathematical Theory of Finite Element Methods	PDF 34	Book-local candidate only
Green function	Green 函数	partial differential equations	pointwise representation for the one-dimensional boundary value problem		needs-review	The Mathematical Theory of Finite Element Methods	PDF 27	The Mathematical Theory of Finite Element Methods	PDF 28	Personal name preserved
