Registry ID	Command	Target Type	LaTeX Label	Translation Location	Status
xref-ch03-0001	\ref	chap	chap:ch00-basic-concepts	tex/chapters/chapter-03.tex:7	resolved-external
xref-ch03-0002	\ref	sec	sec:ch00-piecewise-polynomial-spaces	tex/chapters/chapter-03.tex:14	resolved-external
xref-ch03-0003	\ref	lem	lem:ch03-dual-basis-criterion	tex/chapters/chapter-03.tex:61	resolved-local
xref-ch03-0004	\ref	def	def:ch03-finite-element	tex/chapters/chapter-03.tex:64	resolved-local
xref-ch03-0005	\eqref	eq	eq:ch03-dual-functional-expansion	tex/chapters/chapter-03.tex:83	resolved-local
xref-ch03-0006	\ref	def	def:ch03-finite-element	tex/chapters/chapter-03.tex:109	resolved-local
xref-ch03-0007	\ref	lem	lem:ch03-dual-basis-criterion	tex/chapters/chapter-03.tex:109	resolved-local
xref-ch03-0008	\ref	ex	ex:ch03-one-dimensional-lagrange	tex/chapters/chapter-03.tex:109	resolved-local
xref-ch03-0009	\ref	tab	tab:ch03-pk-dimension-two-dimensional	tex/chapters/chapter-03.tex:167	resolved-local
xref-ch03-0010	\ref	fig	fig:ch03-linear-lagrange-triangle	tex/chapters/chapter-03.tex:188	resolved-local
xref-ch03-0011	\ref	lem	lem:ch03-polynomial-hyperplane-factor	tex/chapters/chapter-03.tex:195	resolved-local
xref-ch03-0012	\ref	fig	fig:ch03-crouzeix-raviart-triangle	tex/chapters/chapter-03.tex:205	resolved-local
xref-ch03-0013	\ref	ex	ex:ch03-linear-lagrange-triangle	tex/chapters/chapter-03.tex:205	resolved-local
xref-ch03-0014	\ref	fig	fig:ch03-quadratic-lagrange-triangle	tex/chapters/chapter-03.tex:226	resolved-local
xref-ch03-0015	\ref	lem	lem:ch03-polynomial-hyperplane-factor	tex/chapters/chapter-03.tex:233	resolved-local
xref-ch03-0016	\ref	fig	fig:ch03-cubic-lagrange-triangle	tex/chapters/chapter-03.tex:243	resolved-local
xref-ch03-0017	\ref	lem	lem:ch03-polynomial-hyperplane-factor	tex/chapters/chapter-03.tex:250	resolved-local
xref-ch03-0018	\ref	fig	fig:ch03-quartic-quintic-lagrange	tex/chapters/chapter-03.tex:275	resolved-local
xref-ch03-0019	\ref	fig	fig:ch03-cubic-hermite-triangle	tex/chapters/chapter-03.tex:288	resolved-local
xref-ch03-0020	\ref	fig	fig:ch03-hermite-directional-choices	tex/chapters/chapter-03.tex:304	resolved-local
xref-ch03-0021	\ref	fig	fig:ch03-quartic-hermite-triangle	tex/chapters/chapter-03.tex:330	resolved-local
xref-ch03-0022	\ref	fig	fig:ch03-quintic-argyris-triangle	tex/chapters/chapter-03.tex:344	resolved-local
xref-ch03-0023	\ref	ex	ex:ch03-quadratic-lagrange-triangle	tex/chapters/chapter-03.tex:361	resolved-local
xref-ch03-0024	\ref	fig	fig:ch03-seventh-argyris-triangle	tex/chapters/chapter-03.tex:368	resolved-local
xref-ch03-0025	\ref	exr	exr:ch03-12	tex/chapters/chapter-03.tex:368	resolved-local
xref-ch03-0026	\ref	fig	fig:ch03-linear-interpolant-coordinates	tex/chapters/chapter-03.tex:399	resolved-local
xref-ch03-0027	\ref	ex	ex:ch03-linear-lagrange-triangle	tex/chapters/chapter-03.tex:399	resolved-local
xref-ch03-0028	\ref	exr	exr:ch03-02	tex/chapters/chapter-03.tex:418	resolved-local
xref-ch03-0029	\ref	prop	prop:ch03-interpolant-preserves-nodes	tex/chapters/chapter-03.tex:440	resolved-local
xref-ch03-0030	\ref	prop	prop:ch03-interpolant-preserves-nodes	tex/chapters/chapter-03.tex:449	resolved-local
xref-ch03-0031	\ref	fig	fig:ch03-triangulation-comparison	tex/chapters/chapter-03.tex:489	resolved-local
xref-ch03-0032	\ref	fig	fig:ch03-two-triangle-triangulation	tex/chapters/chapter-03.tex:501	resolved-local
xref-ch03-0033	\ref	ex	ex:ch03-linear-lagrange-triangle	tex/chapters/chapter-03.tex:501	resolved-local
xref-ch03-0034	\MBUnresolvedReference	chap	chap:ch05	tex/chapters/chapter-03.tex:525	unresolved-future-target
xref-ch03-0035	\ref	exr	exr:ch03-04	tex/chapters/chapter-03.tex:589	resolved-local
xref-ch03-0036	\ref	fig	fig:ch03-inequivalent-quadratic-elements	tex/chapters/chapter-03.tex:598	resolved-local
xref-ch03-0037	\ref	fig	fig:ch03-hermite-direction-incompatibility	tex/chapters/chapter-03.tex:599	resolved-local
xref-ch03-0038	\ref	fig	fig:ch03-hermite-strength-incompatibility	tex/chapters/chapter-03.tex:600	resolved-local
xref-ch03-0039	\eqref	eq	eq:ch03-local-interpolant	tex/chapters/chapter-03.tex:650	resolved-local
xref-ch03-0040	\ref	exr	exr:ch03-26	tex/chapters/chapter-03.tex:666	resolved-local
xref-ch03-0041	\ref	fig	fig:ch03-hermite-directional-choices	tex/chapters/chapter-03.tex:671	resolved-local
xref-ch03-0042	\ref	fig	fig:ch03-hermite-direction-incompatibility	tex/chapters/chapter-03.tex:671	resolved-local
xref-ch03-0043	\ref	fig	fig:ch03-hermite-strength-incompatibility	tex/chapters/chapter-03.tex:671	resolved-local
xref-ch03-0044	\ref	exr	exr:ch03-29	tex/chapters/chapter-03.tex:671	resolved-local
xref-ch03-0045	\ref	exr	exr:ch03-06	tex/chapters/chapter-03.tex:711	resolved-local
xref-ch03-0046	\ref	fig	fig:ch03-bilinear-lagrange-rectangle	tex/chapters/chapter-03.tex:717	resolved-local
xref-ch03-0047	\ref	fig	fig:ch03-biquadratic-lagrange-rectangle	tex/chapters/chapter-03.tex:732	resolved-local
xref-ch03-0048	\ref	fig	fig:ch03-bicubic-lagrange-rectangle	tex/chapters/chapter-03.tex:743	resolved-local
xref-ch03-0049	\ref	exr	exr:ch03-07	tex/chapters/chapter-03.tex:743	resolved-local
xref-ch03-0050	\ref	fig	fig:ch03-serendipity-lemma-notation	tex/chapters/chapter-03.tex:756	resolved-local
xref-ch03-0051	\ref	lem	lem:ch03-serendipity-evaluation-relation	tex/chapters/chapter-03.tex:760	resolved-local
xref-ch03-0052	\ref	fig	fig:ch03-quadratic-serendipity	tex/chapters/chapter-03.tex:787	resolved-local
xref-ch03-0053	\ref	fig	fig:ch03-cubic-serendipity	tex/chapters/chapter-03.tex:803	resolved-local
xref-ch03-0054	\ref	exr	exr:ch03-08	tex/chapters/chapter-03.tex:808	resolved-local
xref-ch03-0055	\ref	def	def:ch03-continuity-order	tex/chapters/chapter-03.tex:819	resolved-local
xref-ch03-0056	\ref	prop	prop:ch03-lagrange-hermite-argyris-continuity	tex/chapters/chapter-03.tex:819	resolved-local
xref-ch03-0057	\ref	exr	exr:ch03-16	tex/chapters/chapter-03.tex:819	resolved-local
xref-ch03-0058	\MBUnresolvedReference	sec	sec:ch04-6	tex/chapters/chapter-03.tex:824	unresolved-future-target
xref-ch03-0059	\ref	lem	lem:ch03-polynomial-hyperplane-factor	tex/chapters/chapter-03.tex:834	resolved-local
xref-ch03-0060	\ref	tab	tab:ch03-three-dimensional-polynomial-dimension	tex/chapters/chapter-03.tex:856	resolved-local
xref-ch03-0061	\eqref	eq	eq:ch03-three-dimensional-polynomial-dimension	tex/chapters/chapter-03.tex:856	resolved-local
xref-ch03-0062	\ref	prop	prop:ch03-lagrange-hermite-argyris-continuity	tex/chapters/chapter-03.tex:870	resolved-local
xref-ch03-0063	\ref	def	def:ch03-continuity-order	tex/chapters/chapter-03.tex:882	resolved-local
xref-ch03-0064	\ref	prop	prop:ch03-lagrange-hermite-argyris-continuity	tex/chapters/chapter-03.tex:882	resolved-local
xref-ch03-0065	\ref	fig	fig:ch03-macro-piecewise-linear-triangle	tex/chapters/chapter-03.tex:892	resolved-local
xref-ch03-0066	\ref	fig	fig:ch03-clough-tocher-macro-element	tex/chapters/chapter-03.tex:900	resolved-local
xref-ch03-0067	\ref	prop	prop:ch03-local-interpolant-linear	tex/chapters/chapter-03-exercises.tex:14	resolved-local
xref-ch03-0068	\ref	ex	ex:ch03-two-triangle-global-interpolant	tex/chapters/chapter-03-exercises.tex:19	resolved-local
xref-ch03-0069	\ref	prop	prop:ch03-affine-equivalence-relation	tex/chapters/chapter-03-exercises.tex:24	resolved-local
xref-ch03-0070	\ref	ex	ex:ch03-general-tensor-product-rectangle	tex/chapters/chapter-03-exercises.tex:39	resolved-local
xref-ch03-0071	\ref	ex	ex:ch03-cubic-serendipity	tex/chapters/chapter-03-exercises.tex:44	resolved-local
xref-ch03-0072	\ref	exr	exr:ch03-01	tex/chapters/chapter-03-exercises.tex:64	resolved-local
xref-ch03-0073	\ref	ex	ex:ch03-seventh-argyris-triangle	tex/chapters/chapter-03-exercises.tex:69	resolved-local
xref-ch03-0074	\ref	fig	fig:ch03-non-element	tex/chapters/chapter-03-exercises.tex:74	resolved-local
xref-ch03-0075	\ref	fig	fig:ch03-non-element	tex/chapters/chapter-03-exercises.tex:91	resolved-local
xref-ch03-0076	\ref	fig	fig:ch03-quartic-finite-element	tex/chapters/chapter-03-exercises.tex:118	resolved-local
xref-ch03-0077	\ref	prop	prop:ch03-lagrange-affine-equivalent-placement	tex/chapters/chapter-03-exercises.tex:129	resolved-local
xref-ch03-0078	\ref	prop	prop:ch03-lagrange-affine-equivalent-placement	tex/chapters/chapter-03-exercises.tex:135	resolved-local
xref-ch03-0079	\ref	exr	exr:ch03-19	tex/chapters/chapter-03-exercises.tex:135	resolved-local
xref-ch03-0080	\ref	prop	prop:ch03-lagrange-affine-equivalent-placement	tex/chapters/chapter-03-exercises.tex:140	resolved-local
