Record Kind	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Definition	Status
definition	referenceable object	chap	chap:ch14-operator-interpolation-applications	label	tex/chapters/chapter-14.tex:4	tex/chapters/chapter-14.tex:4	defined
definition	referenceable object	eq	eq:ch14-intrinsic-fractional-sobolev-norm	label	tex/chapters/chapter-14.tex:12	tex/chapters/chapter-14.tex:12	defined
definition	referenceable object	sec	sec:ch14-exercises	label	tex/chapters/chapter-14/exercises.tex:2	tex/chapters/chapter-14/exercises.tex:2	defined
definition	referenceable object	exr	exr:ch14-01	label	tex/chapters/chapter-14/exercises.tex:6	tex/chapters/chapter-14/exercises.tex:6	defined
definition	referenceable object	exr	exr:ch14-02	label	tex/chapters/chapter-14/exercises.tex:11	tex/chapters/chapter-14/exercises.tex:11	defined
definition	referenceable object	exr	exr:ch14-03	label	tex/chapters/chapter-14/exercises.tex:16	tex/chapters/chapter-14/exercises.tex:16	defined
definition	referenceable object	exr	exr:ch14-04	label	tex/chapters/chapter-14/exercises.tex:21	tex/chapters/chapter-14/exercises.tex:21	defined
definition	referenceable object	exr	exr:ch14-05	label	tex/chapters/chapter-14/exercises.tex:26	tex/chapters/chapter-14/exercises.tex:26	defined
definition	referenceable object	exr	exr:ch14-06	label	tex/chapters/chapter-14/exercises.tex:32	tex/chapters/chapter-14/exercises.tex:32	defined
definition	referenceable object	exr	exr:ch14-07	label	tex/chapters/chapter-14/exercises.tex:37	tex/chapters/chapter-14/exercises.tex:37	defined
definition	referenceable object	exr	exr:ch14-08	label	tex/chapters/chapter-14/exercises.tex:58	tex/chapters/chapter-14/exercises.tex:58	defined
definition	referenceable object	sec	sec:ch14-real-interpolation-method	label	tex/chapters/chapter-14/section-01.tex:2	tex/chapters/chapter-14/section-01.tex:2	defined
definition	referenceable object	eq	eq:ch14-real-interpolation-norm	label	tex/chapters/chapter-14/section-01.tex:18	tex/chapters/chapter-14/section-01.tex:18	defined
definition	referenceable object	eq	eq:ch14-domain-restriction-interpolation-inclusion	label	tex/chapters/chapter-14/section-01.tex:40	tex/chapters/chapter-14/section-01.tex:40	defined
definition	referenceable object	eq	eq:ch14-k-functional-interpolation-bound	label	tex/chapters/chapter-14/section-01.tex:50	tex/chapters/chapter-14/section-01.tex:50	defined
definition	referenceable object	eq	eq:ch14-k-functional-little-o	label	tex/chapters/chapter-14/section-01.tex:57	tex/chapters/chapter-14/section-01.tex:57	defined
definition	referenceable object	prop	prop:ch14-operator-interpolation	label	tex/chapters/chapter-14/section-01.tex:68	tex/chapters/chapter-14/section-01.tex:68	defined
definition	referenceable object	eq	eq:ch14-operator-interpolation-bound	label	tex/chapters/chapter-14/section-01.tex:73	tex/chapters/chapter-14/section-01.tex:73	defined
definition	referenceable object	eq	eq:ch14-reiteration-theorem	label	tex/chapters/chapter-14/section-01.tex:100	tex/chapters/chapter-14/section-01.tex:100	defined
definition	referenceable object	eq	eq:ch14-interpolation-duality	label	tex/chapters/chapter-14/section-01.tex:108	tex/chapters/chapter-14/section-01.tex:108	defined
definition	referenceable object	sec	sec:ch14-real-interpolation-sobolev-spaces	label	tex/chapters/chapter-14/section-02.tex:2	tex/chapters/chapter-14/section-02.tex:2	defined
definition	referenceable object	eq	eq:ch14-riesz-convexity-lebesgue-interpolation	label	tex/chapters/chapter-14/section-02.tex:10	tex/chapters/chapter-14/section-02.tex:10	defined
definition	referenceable object	eq	eq:ch14-sobolev-p-interpolation	label	tex/chapters/chapter-14/section-02.tex:19	tex/chapters/chapter-14/section-02.tex:19	defined
definition	referenceable object	thm	thm:ch14-fractional-sobolev-real-interpolation	label	tex/chapters/chapter-14/section-02.tex:28	tex/chapters/chapter-14/section-02.tex:28	defined
definition	referenceable object	eq	eq:ch14-general-sobolev-real-interpolation	label	tex/chapters/chapter-14/section-02.tex:82	tex/chapters/chapter-14/section-02.tex:82	defined
definition	referenceable object	eq	eq:ch14-hilbert-sobolev-interpolation	label	tex/chapters/chapter-14/section-02.tex:94	tex/chapters/chapter-14/section-02.tex:94	defined
definition	referenceable object	eq	eq:ch14-fourier-sobolev-norm	label	tex/chapters/chapter-14/section-02.tex:101	tex/chapters/chapter-14/section-02.tex:101	defined
definition	referenceable object	thm	thm:ch14-arbitrary-real-sobolev-interpolation	label	tex/chapters/chapter-14/section-02.tex:115	tex/chapters/chapter-14/section-02.tex:115	defined
definition	referenceable object	sec	sec:ch14-finite-element-convergence-estimates	label	tex/chapters/chapter-14/section-03.tex:3	tex/chapters/chapter-14/section-03.tex:3	defined
definition	referenceable object	eq	eq:ch14-quasi-optimal-error-assumption	label	tex/chapters/chapter-14/section-03.tex:11	tex/chapters/chapter-14/section-03.tex:11	defined
definition	referenceable object	eq	eq:ch14-smooth-solution-error-estimate	label	tex/chapters/chapter-14/section-03.tex:24	tex/chapters/chapter-14/section-03.tex:24	defined
definition	referenceable object	thm	thm:ch14-intermediate-regularity-error	label	tex/chapters/chapter-14/section-03.tex:31	tex/chapters/chapter-14/section-03.tex:31	defined
definition	referenceable object	eq	eq:ch14-intermediate-regularity-error-estimate	label	tex/chapters/chapter-14/section-03.tex:36	tex/chapters/chapter-14/section-03.tex:36	defined
definition	referenceable object	thm	thm:ch14-little-o-intermediate-error	label	tex/chapters/chapter-14/section-03.tex:86	tex/chapters/chapter-14/section-03.tex:86	defined
definition	referenceable object	eq	eq:ch14-little-o-intermediate-error-estimate	label	tex/chapters/chapter-14/section-03.tex:91	tex/chapters/chapter-14/section-03.tex:91	defined
definition	referenceable object	eq	eq:ch14-wp1-stability-estimate	label	tex/chapters/chapter-14/section-03.tex:121	tex/chapters/chapter-14/section-03.tex:121	defined
definition	referenceable object	eq	eq:ch14-wp1-smooth-error-estimate	label	tex/chapters/chapter-14/section-03.tex:128	tex/chapters/chapter-14/section-03.tex:128	defined
definition	referenceable object	eq	eq:ch14-wp1-intermediate-error-estimate	label	tex/chapters/chapter-14/section-03.tex:135	tex/chapters/chapter-14/section-03.tex:135	defined
definition	referenceable object	eq	eq:ch14-wp1-little-o-error	label	tex/chapters/chapter-14/section-03.tex:143	tex/chapters/chapter-14/section-03.tex:143	defined
definition	referenceable object	eq	eq:ch14-negative-norm-error-assumption	label	tex/chapters/chapter-14/section-03.tex:151	tex/chapters/chapter-14/section-03.tex:151	defined
definition	referenceable object	thm	thm:ch14-intermediate-norm-error	label	tex/chapters/chapter-14/section-03.tex:158	tex/chapters/chapter-14/section-03.tex:158	defined
definition	referenceable object	sec	sec:ch14-simultaneous-approximation-theorem	label	tex/chapters/chapter-14/section-04.tex:3	tex/chapters/chapter-14/section-04.tex:3	defined
definition	referenceable object	eq	eq:ch14-single-norm-approximation-assumption	label	tex/chapters/chapter-14/section-04.tex:13	tex/chapters/chapter-14/section-04.tex:13	defined
definition	referenceable object	thm	thm:ch14-simultaneous-approximation	label	tex/chapters/chapter-14/section-04.tex:21	tex/chapters/chapter-14/section-04.tex:21	defined
definition	referenceable object	sec	sec:ch14-precise-regularity-characterizations	label	tex/chapters/chapter-14/section-05.tex:2	tex/chapters/chapter-14/section-05.tex:2	defined
definition	referenceable object	eq	eq:ch14-piecewise-data-regularity-assumption	label	tex/chapters/chapter-14/section-05.tex:15	tex/chapters/chapter-14/section-05.tex:15	defined
definition	referenceable object	eq	eq:ch14-interpolated-piecewise-data-regularity	label	tex/chapters/chapter-14/section-05.tex:28	tex/chapters/chapter-14/section-05.tex:28	defined
definition	referenceable object	thm	thm:ch14-piecewise-smooth-data-error	label	tex/chapters/chapter-14/section-05.tex:36	tex/chapters/chapter-14/section-05.tex:36	defined
reference	source or translated reference	eq	eq:ch14-domain-restriction-interpolation-inclusion	eqref	tex/chapters/chapter-14/exercises.tex:12	tex/chapters/chapter-14/section-01.tex:40	resolved
reference	source or translated reference	eq	eq:ch14-k-functional-interpolation-bound	eqref	tex/chapters/chapter-14/exercises.tex:17	tex/chapters/chapter-14/section-01.tex:50	resolved
reference	source or translated reference	exr	exr:ch14-03	ref	tex/chapters/chapter-14/exercises.tex:22	tex/chapters/chapter-14/exercises.tex:16	resolved
reference	source or translated reference	eq	eq:ch14-real-interpolation-norm	eqref	tex/chapters/chapter-14/exercises.tex:22	tex/chapters/chapter-14/section-01.tex:18	resolved
reference	source or translated reference	eq	eq:ch14-k-functional-little-o	eqref	tex/chapters/chapter-14/exercises.tex:27	tex/chapters/chapter-14/section-01.tex:57	resolved
reference	source or translated reference	eq	eq:ch14-fourier-sobolev-norm	eqref	tex/chapters/chapter-14/exercises.tex:33	tex/chapters/chapter-14/section-02.tex:101	resolved
reference	source or translated reference	eq	eq:ch14-fourier-sobolev-norm	eqref	tex/chapters/chapter-14/exercises.tex:38	tex/chapters/chapter-14/section-02.tex:101	resolved
reference	source or translated reference	eq	eq:ch14-intrinsic-fractional-sobolev-norm	eqref	tex/chapters/chapter-14/exercises.tex:38	tex/chapters/chapter-14.tex:12	resolved
reference	source or translated reference	eq	eq:ch14-real-interpolation-norm	eqref	tex/chapters/chapter-14/section-01.tex:34	tex/chapters/chapter-14/section-01.tex:18	resolved
reference	source or translated reference	exr	exr:ch14-01	ref	tex/chapters/chapter-14/section-01.tex:36	tex/chapters/chapter-14/exercises.tex:6	resolved
reference	source or translated reference	exr	exr:ch14-02	ref	tex/chapters/chapter-14/section-01.tex:44	tex/chapters/chapter-14/exercises.tex:11	resolved
reference	source or translated reference	exr	exr:ch14-04	ref	tex/chapters/chapter-14/section-01.tex:46	tex/chapters/chapter-14/exercises.tex:21	resolved
reference	source or translated reference	exr	exr:ch14-03	ref	tex/chapters/chapter-14/section-01.tex:46	tex/chapters/chapter-14/exercises.tex:16	resolved
reference	source or translated reference	exr	exr:ch14-05	ref	tex/chapters/chapter-14/section-01.tex:53	tex/chapters/chapter-14/exercises.tex:26	resolved
reference	source or translated reference	eq	eq:ch14-k-functional-interpolation-bound	eqref	tex/chapters/chapter-14/section-01.tex:62	tex/chapters/chapter-14/section-01.tex:50	resolved
reference	source or translated reference	thm	thm:ch01-extension-mapping	ref	tex/chapters/chapter-14/section-02.tex:40	tex/chapters/chapter-01.tex:519	resolved
reference	source or translated reference	eq	eq:ch14-intrinsic-fractional-sobolev-norm	eqref	tex/chapters/chapter-14/section-02.tex:46	tex/chapters/chapter-14.tex:12	resolved
reference	source or translated reference	prop	prop:ch14-operator-interpolation	ref	tex/chapters/chapter-14/section-02.tex:48	tex/chapters/chapter-14/section-01.tex:68	resolved
reference	source or translated reference	eq	eq:ch14-intrinsic-fractional-sobolev-norm	eqref	tex/chapters/chapter-14/section-02.tex:53	tex/chapters/chapter-14.tex:12	resolved
reference	source or translated reference	eq	eq:ch14-domain-restriction-interpolation-inclusion	eqref	tex/chapters/chapter-14/section-02.tex:60	tex/chapters/chapter-14/section-01.tex:40	resolved
reference	source or translated reference	exr	exr:ch14-02	ref	tex/chapters/chapter-14/section-02.tex:60	tex/chapters/chapter-14/exercises.tex:11	resolved
reference	source or translated reference	eq	eq:ch14-intrinsic-fractional-sobolev-norm	eqref	tex/chapters/chapter-14/section-02.tex:65	tex/chapters/chapter-14.tex:12	resolved
reference	source or translated reference	thm	thm:ch14-fractional-sobolev-real-interpolation	ref	tex/chapters/chapter-14/section-02.tex:69	tex/chapters/chapter-14/section-02.tex:28	resolved
reference	source or translated reference	thm	thm:ch14-fractional-sobolev-real-interpolation	ref	tex/chapters/chapter-14/section-02.tex:78	tex/chapters/chapter-14/section-02.tex:28	resolved
reference	source or translated reference	eq	eq:ch14-reiteration-theorem	eqref	tex/chapters/chapter-14/section-02.tex:86	tex/chapters/chapter-14/section-01.tex:100	resolved
reference	source or translated reference	eq	eq:ch14-general-sobolev-real-interpolation	eqref	tex/chapters/chapter-14/section-02.tex:86	tex/chapters/chapter-14/section-02.tex:82	resolved
reference	source or translated reference	eq	eq:ch14-interpolation-duality	eqref	tex/chapters/chapter-14/section-02.tex:88	tex/chapters/chapter-14/section-01.tex:108	resolved
reference	source or translated reference	eq	eq:ch14-general-sobolev-real-interpolation	eqref	tex/chapters/chapter-14/section-02.tex:88	tex/chapters/chapter-14/section-02.tex:82	resolved
reference	source or translated reference	eq	eq:ch14-general-sobolev-real-interpolation	eqref	tex/chapters/chapter-14/section-02.tex:90	tex/chapters/chapter-14/section-02.tex:82	resolved
reference	source or translated reference	thm	thm:ch14-fractional-sobolev-real-interpolation	ref	tex/chapters/chapter-14/section-02.tex:97	tex/chapters/chapter-14/section-02.tex:28	resolved
reference	source or translated reference	exr	exr:ch14-06	ref	tex/chapters/chapter-14/section-02.tex:105	tex/chapters/chapter-14/exercises.tex:32	resolved
reference	source or translated reference	exr	exr:ch14-07	ref	tex/chapters/chapter-14/section-02.tex:105	tex/chapters/chapter-14/exercises.tex:37	resolved
reference	source or translated reference	eq	eq:ch14-hilbert-sobolev-interpolation	eqref	tex/chapters/chapter-14/section-02.tex:107	tex/chapters/chapter-14/section-02.tex:94	resolved
reference	source or translated reference	eq	eq:ch14-reiteration-theorem	eqref	tex/chapters/chapter-14/section-02.tex:112	tex/chapters/chapter-14/section-01.tex:100	resolved
reference	source or translated reference	eq	eq:ch14-hilbert-sobolev-interpolation	eqref	tex/chapters/chapter-14/section-02.tex:116	tex/chapters/chapter-14/section-02.tex:94	resolved
reference	source or translated reference	thm	thm:ch02-cea	ref	tex/chapters/chapter-14/section-03.tex:7	tex/chapters/chapter-02.tex:984	resolved
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:27	tex/chapters/chapter-14/section-03.tex:24	resolved
reference	source or translated reference	sec	sec:ch04-nonsmooth-function-interpolation	ref	tex/chapters/chapter-14/section-03.tex:27	tex/chapters/chapter-04.tex:1666	resolved
reference	source or translated reference	eq	eq:ch14-quasi-optimal-error-assumption	eqref	tex/chapters/chapter-14/section-03.tex:32	tex/chapters/chapter-14/section-03.tex:11	resolved
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:32	tex/chapters/chapter-14/section-03.tex:24	resolved
