Record Kind	LaTeX Label	Command	Translation Location	Target Definition	Status
definition	front:series-preface	label	tex/frontmatter.tex:126	tex/frontmatter.tex:126	defined
definition	front:preface-third-edition	label	tex/frontmatter.tex:143	tex/frontmatter.tex:143	defined
definition	front:preface-second-edition	label	tex/frontmatter.tex:160	tex/frontmatter.tex:160	defined
definition	front:preface-first-edition	label	tex/frontmatter.tex:175	tex/frontmatter.tex:175	defined
reference	sec:ch07-bddc-preconditioner	ref	tex/frontmatter.tex:146	tex/chapters/chapter-07/section-08.tex:2	resolved
reference	sec:ch09-convergent-adaptive-algorithm	ref	tex/frontmatter.tex:146	tex/chapters/chapter-09/section-05.tex:3	resolved
reference	sec:ch10-discontinuous	ref	tex/frontmatter.tex:146	tex/chapters/chapter-10/section-05.tex:3	resolved
reference	sec:ch10-piecewise-poincare-friedrichs	ref	tex/frontmatter.tex:146	tex/chapters/chapter-10/section-06.tex:2	resolved
reference	chap:ch00-basic-concepts	ref	tex/frontmatter.tex:150	tex/chapters/chapter-00.tex:4	resolved
reference	chap:ch05-n-dimensional-variational-problems	ref	tex/frontmatter.tex:150	tex/chapters/chapter-05.tex:4	resolved
reference	chap:ch06-finite-element-multigrid-methods	ref	tex/frontmatter.tex:150	tex/chapters/chapter-06.tex:4	resolved
reference	chap:ch07-additive-schwarz-preconditioners	ref	tex/frontmatter.tex:150	tex/chapters/chapter-07.tex:4	resolved
reference	chap:ch08-max-norm-estimates	ref	tex/frontmatter.tex:150	tex/chapters/chapter-08.tex:4	resolved
reference	chap:ch09-adaptive-meshes	ref	tex/frontmatter.tex:150	tex/chapters/chapter-09.tex:4	resolved
reference	chap:ch10-variational-crimes	ref	tex/frontmatter.tex:150	tex/chapters/chapter-10.tex:4	resolved
reference	chap:ch11-planar-elasticity	ref	tex/frontmatter.tex:150	tex/chapters/chapter-11.tex:4	resolved
reference	chap:ch12-mixed-methods	ref	tex/frontmatter.tex:150	tex/chapters/chapter-12.tex:4	resolved
reference	chap:ch13-iterative-techniques-mixed-methods	ref	tex/frontmatter.tex:150	tex/chapters/chapter-13.tex:4	resolved
reference	chap:ch12-mixed-methods	ref	tex/frontmatter.tex:150	tex/chapters/chapter-12.tex:4	resolved
reference	chap:ch10-variational-crimes	ref	tex/frontmatter.tex:150	tex/chapters/chapter-10.tex:4	resolved
reference	chap:ch13-iterative-techniques-mixed-methods	ref	tex/frontmatter.tex:150	tex/chapters/chapter-13.tex:4	resolved
reference	chap:ch14-operator-interpolation-applications	ref	tex/frontmatter.tex:150	tex/chapters/chapter-14.tex:4	resolved
reference	chap:ch00-basic-concepts	ref	tex/frontmatter.tex:150	tex/chapters/chapter-00.tex:4	resolved
reference	chap:ch05-n-dimensional-variational-problems	ref	tex/frontmatter.tex:150	tex/chapters/chapter-05.tex:4	resolved
reference	chap:ch00-basic-concepts	ref	tex/frontmatter.tex:182	tex/chapters/chapter-00.tex:4	resolved
reference	chap:ch05-n-dimensional-variational-problems	ref	tex/frontmatter.tex:182	tex/chapters/chapter-05.tex:4	resolved
reference	chap:ch00-basic-concepts	ref	tex/frontmatter.tex:182	tex/chapters/chapter-00.tex:4	resolved
reference	chap:ch01-sobolev-spaces	ref	tex/frontmatter.tex:182	tex/chapters/chapter-01.tex:5	resolved
reference	chap:ch04-polynomial-approximation	ref	tex/frontmatter.tex:182	tex/chapters/chapter-04.tex:5	resolved
reference	chap:ch05-n-dimensional-variational-problems	ref	tex/frontmatter.tex:182	tex/chapters/chapter-05.tex:4	resolved
reference	chap:ch06-finite-element-multigrid-methods	ref	tex/frontmatter.tex:182	tex/chapters/chapter-06.tex:4	resolved
reference	chap:ch00-basic-concepts	ref	tex/frontmatter.tex:186	tex/chapters/chapter-00.tex:4	resolved
reference	chap:ch05-n-dimensional-variational-problems	ref	tex/frontmatter.tex:186	tex/chapters/chapter-05.tex:4	resolved
