Source Form	Canonical Form	Category	First Occurrence	Language or Script	Preserve Exactly	Review Status	Notes
Hardy	Hardy	personal-name element	PDF 37 / printed 25	Latin	Yes	needs-review	Preserve in eponym
Littlewood	Littlewood	personal-name element	PDF 37 / printed 25	Latin	Yes	needs-review	Preserve in eponym
Dirac	Dirac	personal-name element	PDF 37 / printed 25	Latin	Yes	needs-review	Preserve in eponym
Cesàro	Cesàro	personal-name element	PDF 37 / printed 25	Latin with accent	Yes	needs-review	Accent visually verified
Abel	Abel	personal-name element	PDF 37 / printed 25	Latin	Yes	needs-review	Preserve in eponym
Poisson	Poisson	personal-name element	PDF 37 / printed 25	Latin	Yes	needs-review	Preserve in eponym
Gauss	Gauss	personal-name element	PDF 37 / printed 25	Latin	Yes	needs-review	Preserve in eponym
Weierstrass	Weierstrass	personal-name element	PDF 37 / printed 25	Latin	Yes	needs-review	Preserve in eponym
Minkowski	Minkowski	personal-name element	PDF 38 / printed 26	Latin	Yes	needs-review	Preserve in eponym
Chebyshev	Chebyshev	personal-name element	PDF 39 / printed 27	Latin	Yes	needs-review	Preserve in eponym
Marcinkiewicz	Marcinkiewicz	personal-name element	PDF 40 / printed 28	Latin	Yes	needs-review	Preserve in eponym
Calderón	Calderón	personal-name element	PDF 46 / printed 34	Latin with accent	Yes	needs-review	Accent visually verified
Zygmund	Zygmund	personal-name element	PDF 46 / printed 34	Latin	Yes	needs-review	Preserve in eponym
Lebesgue	Lebesgue	personal-name element	PDF 48 / printed 36	Latin	Yes	needs-review	Preserve in eponym
G. H. Hardy	G. H. Hardy	person	PDF 50 / printed 38	Latin	Yes	needs-review	Initials and spacing preserved
J. E. Littlewood	J. E. Littlewood	person	PDF 50 / printed 38	Latin	Yes	needs-review	Initials and spacing preserved
N. Wiener	N. Wiener	person	PDF 50 / printed 38	Latin	Yes	needs-review	Initial and spacing preserved
J. Marcinkiewicz	J. Marcinkiewicz	person	PDF 51 / printed 39	Latin	Yes	needs-review	Initial and spacing preserved
A. Zygmund	A. Zygmund	person	PDF 51 / printed 39	Latin	Yes	needs-review	Initial and spacing preserved
C. Bennett	C. Bennett	person	PDF 51 / printed 39	Latin	Yes	needs-review	Initial and spacing preserved
R. Sharpley	R. Sharpley	person	PDF 51 / printed 39	Latin	Yes	needs-review	Initial and spacing preserved
C. Fefferman	C. Fefferman	person	PDF 51 / printed 39	Latin	Yes	needs-review	Initial and spacing preserved
E. M. Stein	E. M. Stein	person	PDF 51 / printed 39	Latin	Yes	needs-review	Initials and spacing preserved
de Guzmán	de Guzmán	person	PDF 51 / printed 39	Latin with accent	Yes	needs-review	Source form preserved; no name completion
G. Pólya	G. Pólya	person	PDF 51 / printed 39	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
Fourier	Fourier	personal-name element	PDF 13 / printed 1	Latin	Yes	needs-review	Preserve in eponym
Euler	Euler	personal-name element	PDF 13 / printed 1	Latin	Yes	needs-review	Preserve in eponym
Dirichlet	Dirichlet	personal-name element	PDF 15 / printed 3	Latin	Yes	needs-review	Preserve in eponym
Riemann	Riemann	personal-name element	PDF 15 / printed 3	Latin	Yes	needs-review	Preserve in eponym
Jordan	Jordan	personal-name element	PDF 16 / printed 4	Latin	Yes	needs-review	Preserve in eponym
Banach	Banach	personal-name element	PDF 19 / printed 7	Latin	Yes	needs-review	Preserve in eponym
Steinhaus	Steinhaus	personal-name element	PDF 19 / printed 7	Latin	Yes	needs-review	Preserve in eponym
Rudin	Rudin	personal-name element	PDF 20 / printed 8	Latin	Yes	needs-review	Preserve source form
Fejér	Fejér	personal-name element	PDF 22 / printed 10	Latin with accent	Yes	needs-review	Accent visually verified
Fubini	Fubini	personal-name element	PDF 24 / printed 12	Latin	Yes	needs-review	Preserve in eponym
Hölder	Hölder	personal-name element	PDF 24 / printed 12	Latin with accent	Yes	needs-review	Accent visually verified
Schwartz	Schwartz	personal-name element	PDF 25 / printed 13	Latin	Yes	needs-review	Preserve in eponym
Fréchet	Fréchet	personal-name element	PDF 25 / printed 13	Latin with accent	Yes	needs-review	Accent visually verified
Plancherel	Plancherel	personal-name element	PDF 28 / printed 16	Latin	Yes	needs-review	Preserve in eponym
Riesz	Riesz	personal-name element	PDF 29 / printed 17	Latin	Yes	needs-review	Preserve in eponym
Thorin	Thorin	personal-name element	PDF 29 / printed 17	Latin	Yes	needs-review	Preserve in eponym
Hausdorff	Hausdorff	personal-name element	PDF 29 / printed 17	Latin	Yes	needs-review	Preserve in eponym
Young	Young	personal-name element	PDF 29 / printed 17	Latin	Yes	needs-review	Preserve in eponym
Stein	Stein	personal-name element	PDF 32 / printed 20	Latin	Yes	needs-review	Preserve source form
Weiss	Weiss	personal-name element	PDF 32 / printed 20	Latin	Yes	needs-review	Preserve source form
Katznelson	Katznelson	person	PDF 32 / printed 20	Latin	Yes	needs-review	Preserve source form
Dym	Dym	person	PDF 32 / printed 20	Latin	Yes	needs-review	Preserve source form
McKean	McKean	person	PDF 32 / printed 20	Latin	Yes	needs-review	Preserve source form
R. E. Edwards	R. E. Edwards	person	PDF 32 / printed 20	Latin	Yes	needs-review	Initials and spacing preserved
Körner	Körner	person	PDF 32 / printed 20	Latin with accent	Yes	needs-review	Accent visually verified
J. P. Kahane	J. P. Kahane	person	PDF 32 / printed 20	Latin	Yes	needs-review	Initials and spacing preserved
E. González-Velasco	E. González-Velasco	person	PDF 32 / printed 20	Latin with accents	Yes	needs-review	Initial, hyphen, spacing, and accents preserved
O. G. Jørsboe	O. G. Jørsboe	person	PDF 32 / printed 20	Latin with accent	Yes	needs-review	Initials, spacing, and accent preserved
L. Melbro	L. Melbro	person	PDF 32 / printed 20	Latin	Yes	needs-review	Initial and spacing preserved
