Timestamp UTC	Action	Book ID	English	Domain	Context	Previous Status	New Status	Source Location	Commit	Notes
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	approximation of the identity	analysis	family converging to the Dirac measure in the stated sense	needs-review	needs-review	PDF 37 / printed 25	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Dirac measure	analysis	measure concentrated at the origin in the sample	needs-review	needs-review	PDF 37 / printed 25	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	weak-type inequality	operator theory	weak (p,q) estimate	needs-review	needs-review	PDF 38 / printed 26	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	strong-type inequality	operator theory	boundedness from L^p to L^q	needs-review	needs-review	PDF 38 / printed 26	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	maximal operator	analysis	operator associated with a family of operators	needs-review	needs-review	PDF 39 / printed 27	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	distribution function	measure theory	distribution function of an absolute value	needs-review	needs-review	PDF 40 / printed 28	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Marcinkiewicz interpolation theorem	operator theory	interpolation result in Theorem 2.4	needs-review	needs-review	PDF 41 / printed 29	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	sublinear operator	operator theory	operator satisfying the stated pointwise inequality	needs-review	needs-review	PDF 40 / printed 28	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	centered maximal operator	harmonic analysis	maximal operator over balls centered at x	needs-review	needs-review	PDF 42 / printed 30	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	non-centered maximal operator	harmonic analysis	maximal operator over balls containing x	needs-review	needs-review	PDF 42 / printed 30	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
