Record Kind	Original Reference	Target Type	Target Object	LaTeX Label	Command	Translation Location	Target Definition	Status
definition	Chapter 2	chapter	Hardy--Littlewood maximal function	chap:hardy-littlewood-maximal-function	label	tex/chapters/sample.tex:5	tex/chapters/sample.tex:5	defined
definition	§1	section	Approximations of the identity	sec:ch2-identity-approximations	label	tex/chapters/sample.tex:9	tex/chapters/sample.tex:9	defined
definition	Theorem 2.1	theorem	Approximation of the identity in Lp	thm:ch2-approximation-identity-lp	label	tex/chapters/sample.tex:30	tex/chapters/sample.tex:30	defined
definition	§2	section	Weak-type inequalities and almost everywhere convergence	sec:ch2-weak-type-ae	label	tex/chapters/sample.tex:71	tex/chapters/sample.tex:71	defined
definition	Theorem 2.2	theorem	Closed almost-everywhere convergence set	thm:ch2-closed-ae-convergence-set	label	tex/chapters/sample.tex:94	tex/chapters/sample.tex:94	defined
definition	§3	section	Marcinkiewicz interpolation theorem	sec:ch2-marcinkiewicz-interpolation	label	tex/chapters/sample.tex:145	tex/chapters/sample.tex:145	defined
definition	Proposition 2.3	proposition	Distribution-function integral identity	prop:ch2-distribution-function-integral	label	tex/chapters/sample.tex:154	tex/chapters/sample.tex:154	defined
definition	(2.1)	equation	Distribution layer-cake identity	eq:ch2-distribution-layer-cake	label	tex/chapters/sample.tex:166	tex/chapters/sample.tex:166	defined
definition	Theorem 2.4	theorem	Marcinkiewicz interpolation	thm:ch2-marcinkiewicz-interpolation	label	tex/chapters/sample.tex:179	tex/chapters/sample.tex:179	defined
definition	(2.2)	equation	Marcinkiewicz strong bound	eq:ch2-marcinkiewicz-strong-bound	label	tex/chapters/sample.tex:226	tex/chapters/sample.tex:226	defined
definition	§4	section	Hardy--Littlewood maximal function	sec:ch2-hl-maximal-function	label	tex/chapters/sample.tex:238	tex/chapters/sample.tex:238	defined
definition	(2.3)	equation	Ball maximal function	eq:ch2-hl-maximal-ball	label	tex/chapters/sample.tex:242	tex/chapters/sample.tex:242	defined
definition	(2.4)	equation	Centered cube maximal function	eq:ch2-hl-maximal-centered-cube	label	tex/chapters/sample.tex:249	tex/chapters/sample.tex:249	defined
definition	(2.5)	equation	Ball/cube maximal equivalence	eq:ch2-ball-cube-equivalence	label	tex/chapters/sample.tex:254	tex/chapters/sample.tex:254	defined
definition	(2.6)	equation	Uncentered cube maximal function	eq:ch2-hl-maximal-uncentered-cube	label	tex/chapters/sample.tex:259	tex/chapters/sample.tex:259	defined
definition	Theorem 2.5	theorem	Hardy--Littlewood maximal bounds	thm:ch2-hl-maximal-bounds	label	tex/chapters/sample.tex:266	tex/chapters/sample.tex:266	defined
definition	(2.7)	equation	L-infinity maximal bound	eq:ch2-hl-maximal-linfty	label	tex/chapters/sample.tex:272	tex/chapters/sample.tex:272	defined
definition	Lemma 2.6	lemma	One-dimensional interval covering	lem:ch2-interval-covering	label	tex/chapters/sample.tex:278	tex/chapters/sample.tex:278	defined
definition	(2.8)	equation	One-dimensional average	eq:ch2-one-dimensional-average	label	tex/chapters/sample.tex:288	tex/chapters/sample.tex:288	defined
definition	Proposition 2.7	proposition	Radial decreasing majorization	prop:ch2-radial-majorization	label	tex/chapters/sample.tex:302	tex/chapters/sample.tex:302	defined
definition	Corollary 2.8	corollary	Kernel maximal bound	cor:ch2-kernel-maximal-bound	label	tex/chapters/sample.tex:326	tex/chapters/sample.tex:326	defined
definition	Corollary 2.9	corollary	Approximation almost-everywhere convergence	cor:ch2-approximation-ae-convergence	label	tex/chapters/sample.tex:333	tex/chapters/sample.tex:333	defined
definition	§5	section	Dyadic maximal function	sec:ch2-dyadic-maximal-function	label	tex/chapters/sample.tex:346	tex/chapters/sample.tex:346	defined
definition	(2.9)	equation	Dyadic maximal definition	eq:ch2-dyadic-maximal	label	tex/chapters/sample.tex:369	tex/chapters/sample.tex:369	defined
definition	Theorem 2.10	theorem	Dyadic maximal theorem	thm:ch2-dyadic-maximal	label	tex/chapters/sample.tex:374	tex/chapters/sample.tex:374	defined
definition	Theorem 2.11	theorem	Calderón--Zygmund decomposition	thm:ch2-calderon-zygmund-decomposition	label	tex/chapters/sample.tex:407	tex/chapters/sample.tex:407	defined
